plaza,cantidad_plazas,remuneracion_min,remuneracion_max
ANALISTA DE RECURSOS HUMANOS Y FINANCIEROS,1,"14,332","14,332"
ANALISTA DE SISITEMAS EDUCATIVOS,1,"15,080","15,080"
ANALISTA DE SISTEMAS,10,"15,080","22,453"
ANALISTA DE SISTEMAS A,36,"19,759","19,759"
"ANALISTA DE SISTEMAS ADMINISTRATIVOS ""A""",6,"8,912","8,912"
ANALISTA DE SISTEMAS B,49,"12,816","17,088"
ANALISTA DE SISTEMAS C,1,"18,297","18,297"
ANALISTA DE SISTEMAS MACROCOMPUTACIONALES,7,"8,758","8,758"
ANALISTA DIGITALIZADOR EN TRANSPARENCIA,1,"15,525","15,525"
ANALISTA DOCUMENTAL,1,"13,006","13,006"
ANALISTA EDITORIAL,1,"14,733","14,733"
ANALISTA EN EDUCACION A DISTANCIA,1,"15,080","15,080"
ANALISTA EN POLITICA SALARIAL,1,"19,759","19,759"
ANALISTA ESPACIAL,1,"32,286","32,286"
ANALISTA ESPECIALIZADO,223,"8,367","16,725"
"ANALISTA ESPECIALIZADO ""A""",5,"10,308","10,308"
ANALISTA ESPECIALIZADO B,1,"18,297","18,297"
ANALISTA ESPECIALIZADO D,4,"19,759","19,759"
ANALISTA ESPECIALIZADO DE ANALISIS FINANCIERO,1,"36,155","36,155"
ANALISTA ESPECIALIZADO DE ESTUDIOS TECNICOS DE SOPORTE,1,"36,155","36,155"
ANALISTA ESPECIALIZADO DE PLANEACION TERRITORIAL,1,"36,155","36,155"
ANALISTA ESPECIALIZADO DE PLANIMETRIA,1,"36,155","36,155"
ANALISTA ESPECIALIZADO NIVEL 8,10,"12,778","12,778"
ANALISTA ESTADISTICO DE LA FISCALIA ESTATAL,2,"19,759","19,759"
ANALISTA FINANCIERO,2,"17,088","17,088"
ANALISTA FINANCIERO A,1,"19,759","19,759"
ANALISTA GEOGRAFO DE LA FISCALIA ESTATAL,1,"19,759","19,759"
ANALISTA MULTIDISCIPLINARIO DE LA FISCALIA GENERAL,9,"25,078","25,078"
ANALISTA POLITICO,5,"17,088","17,088"
ANALISTA PROGRAMADOR,32,"9,298","9,298"
"ANALISTA PROGRAMADOR ""B""",1,"8,367","8,367"
ANALISTA RELATOR DE LA FISCALIA ESTATAL,1,"22,453","22,453"
ANALISTA RELATOR DE LA FISCALIA GENERAL A,1,"25,078","25,078"
ANALISTA TECNICO,2,"25,078","25,078"
ANALISTA TECNICO ESPECIALIZADO,3,"10,824","10,824"
"ANALISTA TECNICO ESPECIALIZADO ""A""",4,"10,964","10,964"
APOYO ADMINISTRATIVO,1,"12,091","12,091"
APOYO ADMINISTRATIVO A,2,"12,545","12,545"
APOYO ADMINISTRATIVO EN EDUCACION,1,"12,556","12,556"
APOYO ADMINISTRATIVO EN LA EDUCACION,1,"11,597","11,597"
APOYO ADMINISTRATIVO EN SALUD A1,4,"8,350","8,350"
APOYO ADMINISTRATIVO EN SALUD A2,3,"8,403","8,403"
APOYO ADMINISTRATIVO EN SALUD A3,2,"8,453","8,453"
APOYO ADMINISTRATIVO EN SALUD A4,5,"8,533","8,533"
APOYO ADMINISTRATIVO EN SALUD A5,5,"8,614","8,614"
APOYO ADMINISTRATIVO EN SALUD A6,18,"8,638","8,638"
APOYO ADMINISTRATIVO EN SALUD A7,24,"8,688","8,688"
APOYO ADMINISTRATIVO EN SALUD A8,11,"9,001","9,001"
APOYO ADMINISTRATIVO EN SALUD A9,17,"9,146","9,146"
ARCHIVISTA,14,"9,409","12,545"
AREA ACADEMICA DE EDUCACION MEDIA SUPERIOR,1,"35,981","35,981"
AREA DE ADMINISTRACION DE PERSONAL,1,"35,981","35,981"
AREA DE ARTICULACION CON EL SECTOR PRODUCTIVO,1,"35,981","35,981"
AREA DE CAPACITACION Y DESARROLLO,1,"35,981","35,981"
AREA DE CONTROL DE BIENES MUEBLES E INMUEBLES,1,"35,981","35,981"
AREA DE CONTROL ESCOLAR DE EDUCACION BASICA,1,"35,981","35,981"
AREA DE CONTROL ESCOLAR DE EDUCACION MEDIA SUPERIOR Y EDUCACION SUPERIOR DOCENTE,1,"35,981","35,981"
AREA DE DESARROLLO EDUCATIVO PREESCOLAR,1,"35,981","35,981"
AREA DE EDUCACION INDIGENA,1,"35,981","35,981"
AREA DE ESCUELAS PARTICULARES,1,"35,981","35,981"
AREA DE EVALUACION PARA EL FOMENTO EDUCATIVO,1,"35,981","35,981"
AREA DE GESTION ESTRATEGICA DE EDUCACION MEDIA SUPERIOR,1,"35,981","35,981"
AREA DE GESTION Y CONTROL DE PERSONAL,1,"35,981","35,981"
AREA DE GESTION Y OPERACION DE EDUCACION PRIMARIA,1,"35,981","35,981"
AREA DE LO ADMINISTRATIVO LABORAL E INFRACCIONES ADMINISTRATIVAS,1,"35,981","35,981"
AREA DE MANTENIMIENTO A LA INFRAESTRUCTURA TECNOLOGICA EN LAS ESCUELAS,1,"35,981","35,981"
AREA DE ORGANIZACION Y NORMATIVIDAD,1,"35,981","35,981"
AREA DE RELACIONES LABORALES,1,"35,981","35,981"
AREA DE SISTEMAS INFORMATICOS,2,"35,981","35,981"
ARQUITECTO,1,"11,952","11,952"
ASESOR ACADEMICO,2,"15,675","16,246"
ASESOR DE ATENCION A MUNICIPIOS,1,"19,759","19,759"
ASESOR DE ATENCION A QUEJAS INSPECCION Y VIGILANCIA,1,"38,852","38,852"
ASESOR JURIDICO,15,"14,733","16,725"
ASESOR TECNICO,11,"7,847","7,847"
ASESOR TÉCNICO PEDAGÓGICO DE EDUCACIÓN ESPECIAL,2,"14,176","14,176"
ASESOR TÉCNICO PEDAGÓGICO DE EDUCACIÓN FÍSICA,2,"22,900","22,900"
ASESOR TECNICO PEDAGOGICO DE EDUCACIÓN PREESCOLAR,5,"13,631","17,786"
ASESOR TÉCNICO PEDAGÓGICO DE EDUCACIÓN PREESCOLAR,10,"13,631","13,631"
ASESOR TECNICO PEDAGOGICO DE EDUCACION PRIMARIA,8,"13,631","13,631"
ASESOR TÉCNICO PEDAGÓGICO DE EDUCACIÓN PRIMARIA,15,"13,631","13,631"
ASESOR TECNICO PEDAGOGICO DE EDUCACIÓN SECUNDARIA,12,"22,900","28,508"
ASESOR TÉCNICO PEDAGÓGICO DE EDUCACIÓN SECUNDARIA,14,"22,900","28,508"
ASESOR TÉCNICO PEDAGÓGICO DE EDUCACIÓN SECUNDARIA TÉCNICA,11,"22,900","22,900"
ASESOR TÉCNICO PEDAGÓGICO DE EDUCACIÓN TELESECUNDARIA,22,"22,900","28,508"
ASISTENTE A,44,"10,750","14,332"
ASISTENTE ADMINISTRATIVO,3,"19,759","19,759"
ASISTENTE ADMINISTRATIVO C,1,"13,809","13,809"
ASISTENTE ADMINISTRATIVO D,1,"14,812","14,812"
ASISTENTE B,38,"10,358","13,809"
ASISTENTE DE ALMACEN,4,"6,905","6,905"
ASISTENTE DE COCINA,27,"7,180","8,280"
ASISTENTE DE DIRECCION,1,"19,759","19,759"
ASISTENTE DE LOGISTICA,1,"17,088","17,088"
ASISTENTE DE SECRETARIO,1,"19,759","19,759"
ASISTENTE DE SERVICIO Y MANTENIMIENTO,43,"6,905","6,905"
ASISTENTE DE SERVICIOS EN PLANTEL,3599,"6,905","8,020"
ASISTENTE DE SERVICIOS Y MANTENIMIENTO,271,"6,905","8,020"
ASISTENTE DEL ORGANO INTERNO DE CONTROL,1,"17,088","17,088"
ASISTENTE EDUCATIVO,115,"6,999","6,999"
ASISTENTE EJECUTIVO NIVEL 10,29,"14,336","14,336"
ASISTENTE EN EDUCACION,3,"15,080","15,080"
ASISTENTE ESPECIALIZADO DE SERVICIO NAVAL,2,"8,319","8,319"
ASISTENTE F,9,"17,088","17,088"
ASISTENTE G,1,"15,937","15,937"
ASISTENTE H,1,"16,725","16,725"
ASISTENTE LEGAL,4,"12,545","16,725"
ASISTENTE TECNICO,7,"16,725","16,725"
ASISTENTE TECNICO NIVEL 11,15,"15,269","15,269"
ASOCIADO B (E.S.) CENTRO DE CAPACITACION Y MEJORAMIENTO,1,"8,442","8,442"
"ASPIRANTE ""A"" DE MAESTRO BILINGUE DE EDUCACION INDIGENA",3,"3,696","3,696"
"ASPIRANTE ""B"" DE MAESTRO BILINGUE DE EDUCACION INDIGENA",15,"4,929","4,929"
AUDITOR,139,"8,116","16,725"
AUDITOR A DEPENDENCIAS INTERNAS,7,"19,759","19,759"
AUDITOR B,2,"17,088","17,088"
AUDITOR C,2,"28,072","28,072"
AUDITOR E,7,"6,471","6,471"
AUDITOR EDUCATIVO,1,"14,733","14,733"
AUDITOR EDUCATIVO A,2,"14,133","14,733"
AUDITOR EDUCATIVO B,1,"14,733","14,733"
AUDITOR FISCAL,140,"16,725","16,725"
AUDITOR FISCAL A,1,"18,297","18,297"
AUDITOR FISCAL B,1,"19,759","19,759"
AUDITOR G,1,"38,852","38,852"
AUXILIAR ACCESO A LA INFORMACION DE LA COORDINACION DE GABINETE DE ECONOMIA,1,"16,725","16,725"
AUXILIAR ACCESO A LA INFORMACION DE LA COORDINACION DE GABINETE SOCIAL,1,"14,332","14,332"
AUXILIAR ACCESO A LA INFORMACION DE LA COORDINACION DE GABINETE SOCIAL A,1,"16,725","16,725"
AUXILIAR ACCESO A LA INFORMACION DE LA COORDINACION DEL GABINETE DE GESTION DE TERRITORIO,1,"14,332","14,332"
AUXILIAR ACCESO A LA INFORMACION DE LA CORDINACION DEL GABINETE DE GESTION DE TERRITORIO A,3,"16,725","16,725"
AUXILIAR ADMINISTRATIVO,781,"9,706","12,942"
"AUXILIAR ADMINISTRATIVO ""A""",16,"6,263","6,587"
AUXILIAR ADMINISTRATIVO A,1,"12,545","12,545"
AUXILIAR ADMINISTRATIVO C,4,"16,725","16,725"
AUXILIAR ADMINISTRATIVO DE CONCILIACION Y ARBITRAJE,106,"12,545","16,725"
AUXILIAR ADMINISTRATIVO DE RESIDENCIA,7,"12,942","12,942"
AUXILIAR ADMINISTRATIVO DEL TRIBUNAL,8,"16,725","16,725"
AUXILIAR ADMINISTRATIVO E,1,"13,128","13,128"
AUXILIAR ADMINISTRATIVO F,1,"18,297","18,297"
AUXILIAR ADMINISTRATIVO G,2,"22,453","22,453"
AUXILIAR CONTABLE,25,"11,597","13,128"
AUXILIAR DATOS PERSONALES DE LA COORDINACION DE GABINETE SOCIAL,1,"16,725","16,725"
AUXILIAR DATOS PERSONALES DE LA COORDINACION DEL GABINETE DE GESTION DE TERRITORIO,1,"16,725","16,725"
AUXILIAR DE ACCESO A LA INFORMACION DE LA COORDINACION DE GABINETE DE SEGURIDAD PUBLICA,3,"16,725","16,725"
AUXILIAR DE ACCESO A LA INFORMACION DE LA COORDINACION DE GABINETE DE SEGURIDAD PUBLICA A,1,"14,812","14,812"
AUXILIAR DE ACCESO A LA INFORMACION DE LA FISCALIA,1,"16,725","16,725"
AUXILIAR DE ADMINISTRACION,1,"17,088","17,088"
AUXILIAR DE ADMINISTRADOR,83,"6,905","8,020"
AUXILIAR DE ALMACEN,29,"9,706","12,942"
"AUXILIAR DE ANALISTA TECNICO ""A""",5,"8,060","8,060"
"AUXILIAR DE BIBLIOTECA ""A""",2,"5,972","5,972"
AUXILIAR DE COMPRAS,7,"13,128","13,128"
AUXILIAR DE COMUNICACION,8,"13,128","13,128"
AUXILIAR DE CONTABILIDAD,1,"7,670","7,670"
"AUXILIAR DE CONTABILIDAD ""A"" DE LA U.P.N",2,"8,912","8,912"
AUXILIAR DE FOTOGRAFO,2,"6,905","6,905"
AUXILIAR DE GESTION DE GOBIERNO,1,"25,078","25,078"
AUXILIAR DE INFRAESTRUCTURA,1,"10,569","10,569"
AUXILIAR DE INSTRUCCION,17,"18,808","25,078"
AUXILIAR DE INTENDENCIA,312,"5,712","11,691"
"AUXILIAR DE INTENDENCIA ""A""",50,"5,972","5,972"
AUXILIAR DE INTENDENCIA DEL TRIBUNAL,2,"14,812","14,812"
AUXILIAR DE JARDINERIA,28,"12,091","12,091"
AUXILIAR DE LOGISTICA,1,"32,286","32,286"
AUXILIAR DE SERVICIOS Y MANTENIMIENTO EN PLANTEL,5638,"6,905","8,626"
AUXILIAR ESPECIALIZADO,4,"15,525","15,525"
AUXILIAR ESPECIALIZADO B,21,"16,725","16,725"
AUXILIAR LOGISTICO,12,"11,110","14,812"
AUXILIAR PORTAL Y PLATAFORMA DE LA COORDINACION DE GABINETE DE ECONOMIA,1,"16,725","16,725"
AUXILIAR PORTAL Y PLATAFORMA DE LA COORDINACION DE GABINETE SOCIAL,1,"16,725","16,725"
AUXILIAR PORTAL Y PLATAFORMA DE LA COORDINACION DEL GABINETE DE GESTION DE TERRITORIO,2,"16,725","16,725"
AUXILIAR PORTAL Y PLATAFORMA DE LA COORDINACION DEL GABINETE DE GESTION DE TERRITORIO C,1,"15,525","15,525"
AUXILIAR SOCIAL,61,"11,644","15,525"
AUXILIAR TECNICO,1,"15,937","15,937"
AUXILIAR TECNICO C,2,"19,759","19,759"
AYUDANTE,3,"12,091","12,091"
"AYUDANTE ""D"" DE TALLER DE INTERNADO DE PRIMARIA FORANEO.",1,"5,273","5,273"
AYUDANTE ADMINISTRATIVO,867,"6,905","8,020"
AYUDANTE B DE TALLER DE PRIMARIA FORANEO,1,"4,662","4,662"
AYUDANTE C FORANEO,3,"5,113","6,663"
AYUDANTE DE COCINA,12,"9,069","12,091"
AYUDANTE DE MECANICO,1,"12,091","12,091"
AYUDANTE DE MECANICO AEREO DE SECRETARIA,1,"18,297","18,297"
AYUDANTE DE SERVICIO,58,"9,409","12,545"
AYUDANTE G DE TALLER FORANEO,3,"11,363","14,867"
AYUDANTE GENERAL,7,"8,768","11,691"
AYUDANTE LABORATORIO.,5,"7,787","7,787"
BARITONO,4,"10,358","10,358"
BIBLIOTECARIO C,1,"8,067","8,067"
CABO,4,"12,545","12,545"
CAJERO,151,"13,809","13,809"
CAJERO RECEPTOR,9,"10,750","14,332"
CAMAROGRAFO,1,"16,725","16,725"
CAPITAN,2,"66,873","66,873"
CAPITAN D,1,"28,072","28,072"
CAPTURISTA,57,"9,847","13,128"
CAPTURISTA A,21,"10,750","14,332"
CAPTURISTA DIGITALIZADOR,11,"14,332","14,332"
CATALOGADOR,15,"9,847","13,128"
CHECADOR DE ESTACIONAMIENTO,1,"9,409","9,409"
CHOFER,56,"7,534","12,545"
CHOFER ASISTENTE,1,"15,937","15,937"
CHOFER B,2,"14,332","14,332"
CHOFER BRIGADISTA,4,"14,332","14,332"
CHOFER C,4,"15,525","15,525"
CHOFER D,1,"15,937","15,937"
CHOFER DE CARGA,15,"12,942","12,942"
CHOFER DEL DIRECTOR GENERAL,6,"15,525","15,525"
CHOFER DEL SECRETARIO,6,"16,725","16,725"
CHOFER DEL SECRETARIO A,1,"15,525","15,525"
CHOFER DEL SECRETARIO E,2,"17,088","17,088"
CHOFER ESPECIALIZADO,5,"14,332","14,332"
CHOFER ESPECIALIZADO A,1,"19,759","19,759"
CHOFER ESPECIALIZADO DE TURISMO,1,"18,297","18,297"
CHOFER MENSAJERO,9,"12,545","12,545"
CHOFER NOTIFICADOR,1,"12,545","12,545"
CHOFER TRANSPORTISTA,22,"10,750","14,332"
CITAS,1,"10,358","10,358"
COCINERA,71,"6,670","8,631"
COCINERO,57,"12,942","12,942"
COCINERO A,1,"15,525","15,525"
COLABORADOR ESPECIALIZADO,3,"22,453","22,453"
COLABORADOR ESPECIALIZADO B,2,"38,852","38,852"
COMBATIENTE,25,"14,332","14,332"
COMISARIO DE AGRUPAMIENTOS,1,"54,516","54,516"
COMISARIO DE ATENCION A PRELIBERADOS Y LIBERADOS,1,"54,516","54,516"
COMISARIO DE JUSTICIA PARA ADOLECENTES,1,"48,988","48,988"
COMISARIO DE LA POLICIA REGIONAL,1,"54,516","54,516"
COMISARIO DE PLANEACION OPERATIVA,1,"84,285","84,285"
COMISARIO DE PRISION PREVENTIVA,1,"44,221","44,221"
COMISARIO DE REINSERCION FEMENIL,1,"40,168","40,168"
COMISARIO DE SEGURIDAD PENITENCIARIA,1,"54,516","54,516"
COMISARIO DE SENTENCIADOS,1,"44,221","44,221"
COMISARIO GENERAL,1,"96,742","96,742"
COMISARIO JEFE DE ESTADISTICA,1,"66,733","66,733"
COMISARIO JEFE DE LA COORD GENERAL DE PLANEACION OPERAT,1,"54,516","54,516"
COMISARIO JEFE DE LA SUPERVISION GENERAL,2,"54,516","54,516"
COMISARIO PREVENTIVO,2,"54,516","54,516"
COMISARIO SUBJEFE DE LA POLICIA,1,"54,516","54,516"
COMISARIO VIAL,1,"84,285","84,285"
COMISIONADO ESTATAL DE BUSQUEDA DE PERSONAS DESAPARECIDAS,1,"90,438","90,438"
COMUNICACION DIGITAL,2,"16,725","16,725"
COMUNICACION DIGITAL B,2,"25,078","25,078"
CONDUCTOR DE CAMION,10,"12,942","12,942"
CONSEJERO DE EMPLEO,17,"15,937","15,937"
CONSEJERO DE EMPLEO ESPECIALIZADO,11,"16,725","16,725"
CONSEJERO JURIDICO,1,"137,143","137,143"
CONSULTOR HACENDARIO,5,"22,453","22,453"
CONSULTOR HACENDARIO A,4,"28,072","28,072"
CONTADOR,1,"17,088","17,088"
"CONTADOR ""A"" DE LA U.P.N",1,"10,964","10,964"
CONTADOR A,3,"16,725","16,725"
CONTADOR B,2,"11,952","15,937"
CONTENIDOS,1,"16,725","16,725"
CONTENIDOS A,1,"19,759","19,759"
CONTRALOR,52,"9,864","9,864"
CONTRALOR DEL ESTADO,1,"137,143","137,143"
CONTRALOR INTERNO,2,"38,852","38,852"
CONTRALOR INTERNO A,1,"50,390","50,390"
CONTRALOR INTERNO D,2,"36,155","36,155"
CONTRALOR INTERNO DE LA FISCALIA ESTATAL,1,"54,516","54,516"
CONTRALTO,4,"10,358","10,358"
CONTROL DE INFORMACION Y GESTION DOCUMENTAL,1,"32,286","32,286"
COORD DE CONSERVACION DE EDIFICIOS Y MONUMENTOS,1,"18,297","18,297"
COORD DE DESARROLLO TECNOLOGICO Y DIVULGACION DE LA CIENCIA,1,"38,852","38,852"
COORD DE INFORM SEGUIM Y EVALUAC DE PROGR DEL CECAJ,1,"28,072","28,072"
COORD DE INFORM SEGUIMIENTO Y EVALUACION DE PROGR,2,"32,286","32,286"
COORD DE PROGRAMAS DESCENTRALIZADOS DEL COESIDA,1,"32,286","32,286"
COORD DEL SISTEMA DE ATENCION MEDICA DE URGENCIAS,1,"28,072","28,072"
COORD. ACADEMICO,11,"9,693","9,693"
COORD. DE MODULO,4,"9,494","9,494"
COORDINACION DE EDUCACION INICIAL,1,"33,470","33,470"
COORDINADOR,1,"15,675","15,675"
COORDINADOR A,309,"12,816","17,088"
COORDINADOR ADMINISTRATIVO,9,"25,078","25,078"
COORDINADOR ADMINISTRATIVO A,35,"18,297","18,297"
COORDINADOR ADMINISTRATIVO B,13,"19,759","19,759"
COORDINADOR ADMINISTRATIVO C,18,"22,453","22,453"
COORDINADOR ADMINISTRATIVO DE INVESTIGACION Y CURADURIA,1,"19,759","19,759"
COORDINADOR ADMINISTRATIVO DE REDES Y SISTEMAS,1,"17,088","17,088"
COORDINADOR ADMINISTRATIVO DEL CECAJ,1,"32,286","32,286"
COORDINADOR ADMINISTRATIVO DEL CEPAJ,1,"32,286","32,286"
COORDINADOR ADMINISTRATIVO DEL COESIDA,1,"32,286","32,286"
COORDINADOR ADMINISTRATIVO E,1,"32,286","32,286"
COORDINADOR ADMINISTRATIVO F,5,"36,155","36,155"
COORDINADOR ADMINISTRATIVO FINANCIERO,1,"25,078","25,078"
COORDINADOR ADMINISTRATIVO H,2,"42,130","42,130"
COORDINADOR ADMINISTRATIVO I,2,"50,390","50,390"
COORDINADOR ADMINISTRATIVO J,2,"16,725","16,725"
COORDINADOR ADMINISTRATIVO K,3,"17,088","17,088"
COORDINADOR ASESOR DEL CONSEJO ESTATAL TECNICO DE EDUCACION,2,"15,675","16,246"
COORDINADOR B,279,"12,545","16,725"
COORDINADOR B NIVEL 11,3,"14,733","14,733"
COORDINADOR B NIVEL 12,6,"15,080","15,080"
COORDINADOR B NIVEL 13,21,"13,214","16,246"
COORDINADOR B NIVEL 14,13,"13,967","14,217"
COORDINADOR C,6,"14,733","14,733"
COORDINADOR COMUNITARIO,4,"6,494","6,494"
COORDINADOR DE ACCESO A LA INFORMACION,1,"10,750","10,750"
COORDINADOR DE ACCESO A LA INFORMACION D,2,"32,286","32,286"
COORDINADOR DE ACCESO A LA INFORMACION F,1,"38,852","38,852"
COORDINADOR DE ACCESO A LA INFORMACION G,5,"42,130","42,130"
COORDINADOR DE ACCESO A LA INFORMACION I,1,"50,390","50,390"
COORDINADOR DE ACOPIO DE INFORMACION,1,"20,272","20,272"
COORDINADOR DE ACTUARIOS,1,"25,078","25,078"
COORDINADOR DE ACUACULTURA DE AGUAS INTERIORES,1,"32,286","32,286"
COORDINADOR DE ANALISIS DE PROCESOS,2,"18,297","18,297"
COORDINADOR DE ANALISIS EVALUACION Y SEGUIMIENTO,7,"22,453","25,729"
COORDINADOR DE ANALISIS EVALUACION Y SEGUIMIENTO B,1,"18,297","18,297"
COORDINADOR DE ANALISIS Y PROYECTOS,8,"38,852","38,852"
COORDINADOR DE ANALISIS Y PROYECTOS A,4,"36,155","36,155"
COORDINADOR DE ANALISIS Y PROYECTOS D,1,"16,725","16,725"
COORDINADOR DE ANALISIS Y PROYECTOS E,6,"19,759","19,759"
COORDINADOR DE ANALISIS Y PROYECTOS I,2,"32,286","32,286"
COORDINADOR DE ANALISIS Y PROYECTOS M,2,"50,390","50,390"
COORDINADOR DE ANALISIS Y SEGUIMIENTO,11,"22,453","22,453"
COORDINADOR DE APLICACION PRESUPUESTAL,1,"18,297","18,297"
COORDINADOR DE APOYO,14,"19,759","19,759"
COORDINADOR DE APOYO FINANCIERO A LA CAPACITACION,1,"36,155","36,155"
"COORDINADOR DE APOYO NIVEL 16, JORNADA 30 HRS",2,"12,985","22,832"
COORDINADOR DE AREA,1,"66,873","66,873"
COORDINADOR DE AREA D,7,"36,155","36,155"
COORDINADOR DE AREA JURIDICA,2,"36,155","36,155"
COORDINADOR DE AREA MEDICA,1,"18,297","18,297"
COORDINADOR DE AREA TECNICA,8,"13,723","18,297"
COORDINADOR DE ASISTENCIA SOCIAL,1,"22,453","22,453"
COORDINADOR DE ASUNTOS AGRARIOS,1,"19,759","19,759"
COORDINADOR DE ASUNTOS INTERNACIONALES,1,"66,873","66,873"
COORDINADOR DE ASUNTOS LABORALES,1,"18,297","18,297"
COORDINADOR DE ASUNTOS LABORALES F,1,"28,072","28,072"
COORDINADOR DE ATENCION A LAS PROPUESTAS DE LA CIUDADANIA,1,"18,297","18,297"
COORDINADOR DE ATENCION A MEDIOS,1,"50,390","50,390"
COORDINADOR DE ATENCION AL SECTOR CENTRAL,1,"32,286","32,286"
COORDINADOR DE ATENCION CIUDADANA,3,"18,297","18,297"
COORDINADOR DE ATENCION CIUDADANA DE LA FISCALIA ESTATAL,1,"36,155","36,155"
COORDINADOR DE AUDITORES,1,"20,272","20,272"
COORDINADOR DE AUDITORIA,4,"19,759","19,759"
COORDINADOR DE AUDITORIA DE SISTEMAS,1,"32,286","32,286"
COORDINADOR DE BASES DE LICITACION,1,"15,080","15,080"
COORDINADOR DE CALIDAD DE SOFTWARE,1,"32,286","32,286"
COORDINADOR DE CAPACITACION,1,"25,078","25,078"
COORDINADOR DE CAPACITACION A,4,"19,759","19,759"
COORDINADOR DE CAPACITACION B,3,"18,297","18,297"
COORDINADOR DE CAPACITACION C,4,"17,088","17,088"
COORDINADOR DE CAPACITACION E INVESTIGACION,2,"19,759","19,759"
COORDINADOR DE CAPACITACION FISCAL,1,"18,297","18,297"
