plaza,cantidad_plazas,remuneracion_min,remuneracion_max
ASESOR TÉCNICO PDAGÓGICO DE EDUCACIÓN PREESCOLAR,13,"13,050","21,924"
ASESOR TÉCNICO PDAGÓGICO DE EDUCACIÓN PRIMARIA,3,"13,050","13,050"
ASESOR TÉCNICO PEDAGÓGICO DE EDUCACIÓN ESPECIAL,2,"13,572","13,572"
ASESOR TÉCNICO PEDAGÓGICO DE EDUCACIÓN FÍSICA,2,"21,924","21,924"
ASESOR TÉCNICO PEDAGÓGICO DE EDUCACIÓN PREESCOLAR,10,"13,050","13,050"
ASESOR TÉCNICO PEDAGÓGICO DE EDUCACIÓN PRIMARIA,15,"13,050","13,050"
ASESOR TÉCNICO PEDAGÓGICO DE EDUCACIÓN SECUNDARIA,14,"21,924","27,293"
ASESOR TÉCNICO PEDAGÓGICO DE EDUCACIÓN SECUNDARIA GENERAL,7,"21,924","21,924"
ASESOR TÉCNICO PEDAGÓGICO DE EDUCACIÓN SECUNDARIA TÉCNICA,11,"21,924","27,293"
ASESOR TÉCNICO PEDAGÓGICO DE EDUCACIÓN TELESECUNDARIA,22,"21,924","27,293"
ASISTENTE A,45,"10,135","13,512"
ASISTENTE B,41,"9,743","12,989"
ASISTENTE DE ALMACEN,4,"6,636","6,636"
ASISTENTE DE COCINA,27,"6,900","7,957"
ASISTENTE DE LOGISTICA,2,"16,102","16,102"
ASISTENTE DE SERVICIO Y MANTENIMIENTO,43,"6,636","6,636"
ASISTENTE DE SERVICIOS EN PLANTEL,3595,"6,636","7,707"
ASISTENTE DE SERVICIOS Y MANTENIMIENTO,268,"6,636","7,707"
ASISTENTE EDUCATIVO,115,"6,701","6,701"
ASISTENTE EJECUTIVO NIVEL 10,29,"13,778","13,778"
ASISTENTE EN EDUCACION,3,"13,967","14,217"
ASISTENTE ESPECIALIZADO DE SERVICIO NAVAL,2,"7,996","7,996"
ASISTENTE TECNICO,7,"15,905","15,905"
ASISTENTE TECNICO NIVEL 11,15,"14,675","14,675"
ASOCIADO B (E.S.) CENTRO DE CAPACITACION Y MEJORAMIENTO,1,"8,090","8,090"
"ASPIRANTE ""A"" DE MAESTRO BILINGUE DE EDUCACION INDIGENA",3,"3,539","3,539"
"ASPIRANTE ""B"" DE MAESTRO BILINGUE DE EDUCACION INDIGENA",15,"4,719","4,719"
AUDITOR,141,"7,800","15,905"
AUDITOR A,3,"11,930","11,930"
AUDITOR E,7,"6,219","6,219"
AUDITOR EDUCATIVO,1,"14,133","14,133"
AUDITOR EDUCATIVO A,1,"14,133","14,133"
AUDITOR EDUCATIVO B,1,"14,133","14,133"
AUDITOR FISCAL,169,"15,905","15,905"
AUXILIAR ADMINISTRATIVO,805,"9,091","12,122"
"AUXILIAR ADMINISTRATIVO ""A""",16,"6,002","6,312"
AUXILIAR ADMINISTRATIVO DE CONCILIACION Y ARBITRAJE,125,"11,930","15,905"
AUXILIAR ADMINISTRATIVO DE RESIDENCIA,8,"12,122","12,122"
AUXILIAR ADMINISTRATIVO DEL TRIBUNAL,8,"15,905","15,905"
AUXILIAR CONTABLE,25,"10,997","12,308"
AUXILIAR DE ADMINISTRADOR,83,"6,636","7,707"
AUXILIAR DE ALMACEN,30,"9,091","12,122"
"AUXILIAR DE ANALISTA TECNICO ""A""",5,"7,724","7,724"
"AUXILIAR DE BIBLIOTECA ""A""",2,"5,723","5,723"
AUXILIAR DE COMPRAS,8,"12,308","12,308"
AUXILIAR DE COMUNICACION,10,"9,233","12,308"
AUXILIAR DE CONTABILIDAD,1,"7,350","7,350"
"AUXILIAR DE CONTABILIDAD ""A"" DE LA U.P.N",2,"8,541","8,541"
AUXILIAR DE FOTOGRAFO,2,"6,636","6,636"
AUXILIAR DE INFRAESTRUCTURA,1,"10,158","10,158"
AUXILIAR DE INSTRUCCION,17,"18,480","24,638"
AUXILIAR DE INTENDENCIA,337,"5,474","10,871"
"AUXILIAR DE INTENDENCIA ""A""",50,"5,723","5,723"
AUXILIAR DE INTENDENCIA DEL TRIBUNAL,2,"13,992","13,992"
AUXILIAR DE JARDINERIA,28,"11,271","11,271"
AUXILIAR DE SERVICIOS Y MANTENIMIENTO EN PLANTEL,5640,"6,636","8,291"
AUXILIAR LOGISTICO,13,"10,496","13,992"
AUXILIAR SOCIAL,64,"11,031","14,705"
"AYUDANTE ""D"" DE TALLER DE INTERNADO DE PRIMARIA FORANEO.",1,"5,048","5,048"
AYUDANTE ADMINISTRATIVO,865,"6,636","7,707"
AYUDANTE B DE TALLER DE PRIMARIA FORANEO,1,"4,463","4,463"
AYUDANTE C FORANEO,3,"4,895","6,379"
AYUDANTE DE COCINA,12,"8,455","11,271"
AYUDANTE DE MECANICO,1,"11,271","11,271"
AYUDANTE DE MECANICO AEREO A,1,"24,638","24,638"
AYUDANTE DE MECANICO AEREO DE FISCALIA,1,"18,077","18,077"
AYUDANTE DE SERVICIO,57,"8,796","11,725"
AYUDANTE G DE TALLER FORANEO,3,"10,879","14,233"
AYUDANTE LABORATORIO.,5,"7,455","7,455"
AYUNDANTIA A DE ADMINISTRACION,1,"21,675","21,675"
BARITONO,4,"9,743","9,743"
BIBLIOTECARIO C,1,"7,730","7,730"
CABO,5,"11,725","11,725"
CAJERO,148,"12,989","12,989"
CAJERO RECEPTOR,9,"10,135","13,512"
CAMAROGRAFO A,3,"15,905","15,905"
CAPITAN,2,"70,017","70,017"
CAPTURISTA,56,"9,233","12,308"
CAPTURISTA A,23,"10,135","13,512"
CAPTURISTA DIGITALIZADOR,11,"13,512","13,512"
CATALOGADOR,15,"9,233","12,308"
CHECADOR DE ESTACIONAMIENTO,1,"8,796","8,796"
CHOFER,56,"7,240","11,725"
CHOFER BRIGADISTA,4,"11,271","11,271"
CHOFER DE AUTOBUS,1,"13,512","13,512"
CHOFER DE CARGA,18,"12,122","12,122"
CHOFER DE TURISMO,2,"14,705","14,705"
CHOFER DEL DIRECTOR GENERAL,6,"14,705","14,705"
CHOFER DEL SECRETARIO,6,"15,905","15,905"
CHOFER ESPECIALIZADO,9,"13,512","13,512"
CHOFER MENSAJERO,10,"11,725","11,725"
CHOFER TRANSPORTISTA,24,"10,135","13,512"
CITAS,1,"9,743","9,743"
COCINERA,71,"6,411","8,295"
COCINERO,57,"12,122","12,122"
COMBATIENTE,25,"11,271","11,271"
COMISARIO DE ATENCION A PRELIBERADOS Y LIBERADOS,1,"62,664","62,664"
COMISARIO DE INVESTIGACION,1,"56,094","56,094"
COMISARIO DE JUSTICIA PARA ADOLECENTES,1,"50,402","50,402"
COMISARIO DE LA FUERZA UNICA METROPOLITANA,1,"56,094","56,094"
COMISARIO DE LA FUERZA UNICA REGIONAL,1,"56,094","56,094"
COMISARIO DE PRISION PREVENTIVA,1,"45,490","45,490"
COMISARIO DE REINSERCION FEMENIL,1,"41,315","41,315"
COMISARIO DE SEGURIDAD PENITENCIARIA,1,"50,402","50,402"
COMISARIO DE SENTENCIADOS,1,"45,490","45,490"
COMISARIO GENERAL,1,"70,017","70,017"
COMISARIO JEFE DE INTELIGENCIA,1,"56,094","56,094"
COMISARIO JEFE DE LA COORD GENERAL DE PLANEACION OPERAT,1,"56,094","56,094"
COMISARIO JEFE DE LA SUPERVISION GENERAL,1,"56,094","56,094"
COMISARIO PREVENTIVO,1,"56,094","56,094"
COMISARIO SUBJEFE DE LA POLICIA,1,"62,664","62,664"
COMISIONADO DE SEGURIDAD PUBLICA,1,"124,828","124,828"
COMISIONADO ESTATAL DE BUSQUEDA DE PRSONAS,1,"101,505","101,505"
CONDUCTOR DE CAMION,10,"12,122","12,122"
CONSEJERO DE EMPLEO,18,"15,117","15,117"
CONSEJERO DE EMPLEO ESPECIALIZADO,13,"15,905","15,905"
CONSEJERO GENERAL DEL PODER EJECUTIVO,1,"78,235","78,235"
CONTADOR,1,"16,102","16,102"
"CONTADOR ""A"" DE LA U.P.N",1,"10,507","10,507"
CONTADOR A,5,"15,905","15,905"
CONTADOR B,2,"11,337","15,117"
CONTRALOR,52,"9,444","9,444"
CONTRALOR DEL ESTADO,1,"132,526","132,526"
CONTRALTO,4,"9,743","9,743"
COORD DE AT´N VINC DE SEG DE VISAS DE EMPLEO EXTRANJERO,1,"24,638","24,638"
COORD DE ATENCION A LAS PROPUESTAS DE LA CIUDADANIA,1,"17,636","17,636"
COORD DE CONSERVACION DE EDIFICIOS Y MONUMENTOS,1,"17,636","17,636"
COORD DE INFORM SEGUIM Y EVALUACDE PROGR DEL CECAJ,1,"30,410","30,410"
COORD DE INFORM SEGUIM Y EVALUACION DE PROYECTOS,6,"30,410","30,410"
COORD DE INFORM SEGUIMIENTO Y EVALUACION DE PROGR,3,"30,410","30,410"
COORD DE MANTTO SIST DE SEMAFORIZACION COMPUTARIZADA,1,"21,675","21,675"
COORD DE PROGRAMAS DESCENTRALIZADOS DEL COESIDA,1,"30,410","30,410"
COORD DEL SISTEMA DE ATENCION MEDICAS DE URGENCIAS,1,"30,410","30,410"
COORD. ACADEMICO,11,"9,280","9,280"
COORD. DE MODULO,4,"9,090","9,090"
COORDINADOR,29,"15,675","24,533"
COORDINADOR A,328,"12,078","16,102"
COORDINADOR A BILINGUE,1,"21,675","21,675"
COORDINADOR ACADEMICO,1,"19,239","19,239"
COORDINADOR ADMINISTRATIVO,12,"24,638","30,883"
COORDINADOR ADMINISTRATIVO A,22,"21,675","21,675"
COORDINADOR ADMINISTRATIVO B,9,"19,239","19,239"
COORDINADOR ADMINISTRATIVO C,39,"17,636","17,636"
COORDINADOR ADMINISTRATIVO DE TELECOMUNICACIONES,1,"24,638","24,638"
COORDINADOR ADMINISTRATIVO DEL CECAJ,1,"30,410","30,410"
COORDINADOR ADMINISTRATIVO DEL CEPAJ,1,"30,410","30,410"
COORDINADOR ADMINISTRATIVO DEL COESIDA,1,"30,410","30,410"
COORDINADOR ADMINISTRATIVO FINANCIERO,2,"27,098","27,098"
COORDINADOR ASESOR DEL CONSEJO ESTATAL TECNICO DE EDUCACION,1,"15,675","15,675"
COORDINADOR B,195,"11,930","15,905"
COORDINADOR B NIVEL 13,11,"13,214","14,133"
COORDINADOR B NIVEL 14,8,"14,217","14,217"
COORDINADOR C,150,"11,930","15,905"
COORDINADOR COMUNITARIO,4,"6,217","6,217"
COORDINADOR DE ACCESIBILIDAD,1,"17,636","17,636"
COORDINADOR DE ACERVO CULTURAL Y LECTOR,1,"30,410","30,410"
COORDINADOR DE ACOPIO DE INFORMACION,1,"19,532","19,532"
COORDINADOR DE ACTUARIOS,1,"24,638","24,638"
COORDINADOR DE ADMINISTRACIÓN,1,"73,411","73,411"
COORDINADOR DE ANALISIS DE PROCESOS,4,"17,636","17,636"
COORDINADOR DE ANALISIS DEL ENTORNO,1,"33,687","33,687"
COORDINADOR DE ANALISIS DEL ENTORNO DE ADMINISTRACION,1,"37,358","37,358"
COORDINADOR DE ANALISIS EVALUACION Y SEGUIMIENTO,16,"21,675","24,533"
COORDINADOR DE ANALISIS Y PROYECTOS,26,"37,358","37,358"
COORDINADOR DE ANALISIS Y PROYECTOS A,20,"33,687","33,687"
COORDINADOR DE ANALISIS Y SEGUIMIENTO,14,"21,675","21,675"
COORDINADOR DE ANALISIS Y TENDENCIAS SOCIALES,1,"30,410","30,410"
COORDINADOR DE ANALISIS Y TRANSPARENCIA,1,"41,315","41,315"
COORDINADOR DE APLICACION PRESUPUESTAL,1,"17,636","17,636"
COORDINADOR DE APOYO,17,"19,239","19,239"
COORDINADOR DE APOYO NIVEL 16,1,"12,985","12,985"
COORDINADOR DE AREA MEDICA,1,"17,636","17,636"
COORDINADOR DE AREA TECNICA,8,"13,229","17,636"
COORDINADOR DE ARTES AUDIOVISUALES,1,"21,675","21,675"
COORDINADOR DE ARTICULACION DE PROGRAMAS DE INNOVACION,1,"37,358","37,358"
COORDINADOR DE ASESORES,2,"56,094","58,759"
COORDINADOR DE ASESORIA Y GESTORIA,1,"17,636","17,636"
COORDINADOR DE ASISTENCIA AL CONTRIBUYENTE,1,"30,410","30,410"
COORDINADOR DE ASISTENCIA SOCIAL,1,"17,636","17,636"
COORDINADOR DE ASUNTOS AGRARIOS,1,"19,239","19,239"
COORDINADOR DE ASUNTOS INTERNACIONALES,1,"24,638","24,638"
COORDINADOR DE ASUNTOS LABORALES,1,"17,636","17,636"
COORDINADOR DE AT DE DELITOS EN AGRAV DE MEN Y SEXUALES,1,"34,578","34,578"
COORDINADOR DE AT´N Y SEGUIM DE RESULT DEL SECTOR CTRAL,1,"30,410","30,410"
COORDINADOR DE ATENCION A JALISCIENSES EN EL EXTRANJERO,1,"21,675","21,675"
COORDINADOR DE ATENCION A LA COMUNIDAD,1,"24,638","24,638"
COORDINADOR DE ATENCION CIUDADANA,4,"17,636","17,636"
COORDINADOR DE ATENCION SOCIAL,1,"19,239","19,239"
COORDINADOR DE AUDITORES,1,"19,532","19,532"
COORDINADOR DE AUDITORIA,4,"19,239","19,239"
COORDINADOR DE AUDITORIA DE SISTEMAS,1,"30,410","30,410"
COORDINADOR DE BASES DE LICITACION,1,"13,967","13,967"
COORDINADOR DE CALIDAD Y DESARROLLO INSTITUCIONAL,1,"30,410","30,410"
COORDINADOR DE CAPACITACION,4,"17,636","24,638"
COORDINADOR DE CAPACITACION A,4,"19,239","19,239"
COORDINADOR DE CAPACITACION B,2,"17,636","17,636"
COORDINADOR DE CAPACITACION C,4,"16,102","16,102"
COORDINADOR DE CAPACITACION DEL CECAJ,1,"16,102","16,102"
COORDINADOR DE CAPACITACION E INVESTIGACION,2,"19,239","19,239"
COORDINADOR DE CAPACITACION FISCAL,1,"17,636","17,636"
COORDINADOR DE CAPACITACION Y PROYECTOS ESPECIALES,1,"27,098","27,098"
COORDINADOR DE CASA JALISCO,1,"30,410","30,410"
COORDINADOR DE CENTRO DE DIVULGACION,1,"37,358","37,358"
COORDINADOR DE CENTRO PISCICOLA,6,"16,102","16,102"
COORDINADOR DE COMITES DE HERMANAMIENTO,1,"24,638","24,638"
COORDINADOR DE COMPRAS,5,"16,102","16,102"
COORDINADOR DE COMPRAS A,6,"17,636","17,636"
COORDINADOR DE COMUNICACION INTERISTITUCIONAL,1,"21,675","21,675"
COORDINADOR DE COMUNICACION INTERNA,3,"19,239","19,239"
COORDINADOR DE COMUNICACION SOCIAL,4,"24,638","24,638"
COORDINADOR DE COMUNICACION SOCIAL Y DIFUSION,2,"30,410","30,410"
COORDINADOR DE COMUNICACION Y APOYO,3,"27,098","27,098"
COORDINADOR DE COMUNICACION Y APOYO A,3,"21,675","21,675"
COORDINADOR DE COMUNICACION Y APOYO B,2,"17,636","17,636"
COORDINADOR DE CONCILIACION,1,"24,638","24,638"
COORDINADOR DE CONSTRUCCION,2,"17,636","17,636"
COORDINADOR DE CONTRALORIA INTERNA DE INNOVACION,1,"30,410","30,410"
COORDINADOR DE CONTROL DE LA GESTION,1,"17,636","17,636"
COORDINADOR DE CONTROL DEL PADRON VEHICULAR,1,"16,102","16,102"
COORDINADOR DE CONTROL PRESUPUESTAL,1,"19,239","19,239"
COORDINADOR DE CONTROL VEHICULAR,1,"15,425","15,425"
COORDINADOR DE CONTROL Y SEGUIMIENTO,1,"37,358","37,358"
COORDINADOR DE CONTROL Y SEGUIMIENTO A,9,"19,239","19,239"
COORDINADOR DE CONVENIOS Y ACUERDOS,1,"19,239","19,239"
COORDINADOR DE COOPERACION Y ASUNTOS INTERNACIONALES,1,"37,358","37,358"
COORDINADOR DE CORRESPONDENCIA,1,"14,133","14,133"
COORDINADOR DE COSTOS Y CONSTRUCCION,4,"19,239","19,239"
COORDINADOR DE COSTOS Y CONSTRUCCION A,3,"17,636","17,636"
COORDINADOR DE COTIZACIONES,1,"19,532","19,532"
COORDINADOR DE CTROS DE ATN PRIMARIA EN ADICCIONES,13,"21,675","21,675"
COORDINADOR DE DANZA,1,"21,675","21,675"
COORDINADOR DE DELEGACIONES REGIONALES,1,"65,679","65,679"
COORDINADOR DE DERECHOS HUMANOS Y DESARROLLO INTEGRAL,1,"16,102","16,102"
COORDINADOR DE DESARR DE PLATAFORMAS TECNOLG INDUST,1,"37,358","37,358"
COORDINADOR DE DESARROLLO DE NEGOCIOS,4,"41,315","41,315"
COORDINADOR DE DESARROLLO DE PROVEEDORES,1,"24,638","24,638"
COORDINADOR DE DESARROLLO E INCLUSION DIGITAL,1,"30,410","30,410"
COORDINADOR DE DESARROLLO RURAL A,1,"21,675","21,675"
COORDINADOR DE DESARROLLO RURAL B,4,"19,239","19,239"
COORDINADOR DE DESARROLLO RURAL C,23,"17,636","17,636"
COORDINADOR DE DESARROLLO SOCIAL A,2,"24,638","24,638"
COORDINADOR DE DESARROLLO SOCIAL C,1,"15,905","15,905"
COORDINADOR DE DEUDA PUBLICA,1,"30,410","30,410"
COORDINADOR DE DICTAMENES TECNICOS,1,"14,133","14,133"
COORDINADOR DE DISEÑO,1,"16,102","16,102"
COORDINADOR DE DIVISION,33,"31,406","31,406"
COORDINADOR DE ECOS CULTURA,1,"21,675","21,675"
COORDINADOR DE EDUCACIÓN BASICA,1,"65,679","65,679"
COORDINADOR DE EDUCACION INICIAL,1,"15,675","15,675"
COORDINADOR DE EMPRENDURISMO Y DESARROLLO TECNOLOGICO,1,"37,358","37,358"
COORDINADOR DE ENLACE,4,"19,532","21,675"
COORDINADOR DE ENLACE EXTERIOR,3,"17,213","17,213"
COORDINADOR DE ENLACE INTERINSTITUCIONAL,2,"16,102","16,102"
COORDINADOR DE ENTORNO SOCIOECONOMICO,1,"24,638","24,638"
COORDINADOR DE EQUIPOS DE COMUNICACION,1,"14,133","14,133"
COORDINADOR DE ESCOLAR,1,"21,675","21,675"
COORDINADOR DE ESPACIOS CULTURALES,2,"30,410","30,410"
COORDINADOR DE ESTADISTICA Y POLITICA CRIMINAL,4,"17,636","17,636"
COORDINADOR DE ESTRATEGIA Y POLITICA MIGRATORIA,1,"24,638","24,638"
COORDINADOR DE ESTUDIOS GUBERNAMENTALES,2,"56,094","56,094"
COORDINADOR DE ESTUDIOS MUNICIPALES,1,"27,098","27,098"
COORDINADOR DE ESTUDIOS PROSPECTIVOS,1,"27,098","27,098"
COORDINADOR DE ESTUDIOS Y PROYECTOS NORMATIVOS,1,"24,638","24,638"
COORDINADOR DE EVALUACION DE PROYECTOS,9,"21,675","21,675"
COORDINADOR DE EVALUACION Y SEGUIMIENTO,10,"17,636","17,636"
COORDINADOR DE EVENTOS A,1,"16,102","16,102"
COORDINADOR DE FINANCIAMIENTO RURAL,1,"24,638","24,638"
COORDINADOR DE FORMACIÓN Y ACTUALIZACIÓN DE DOCENTES,1,"65,679","65,679"
COORDINADOR DE FOVIMJAL,1,"22,186","22,186"
COORDINADOR DE GASTOS MENORES,1,"17,636","17,636"
COORDINADOR DE GESTION PROGRAMATICA,1,"30,410","30,410"
COORDINADOR DE GESTION REGIONAL,12,"21,675","21,675"
COORDINADOR DE GIRAS Y EVENTOS,3,"21,675","21,675"
COORDINADOR DE INFORMACION DE SEGURIDAD PUBLICA,1,"33,687","33,687"
COORDINADOR DE INFORMACION ESTRATEGICA,3,"17,636","17,636"
COORDINADOR DE INFORMACION REGIONAL,6,"17,636","17,636"
COORDINADOR DE INFORMATICA,7,"17,636","17,636"
COORDINADOR DE INFORMATICA A,19,"21,675","21,675"
COORDINADOR DE INFORMATICA B,11,"19,239","19,239"
COORDINADOR DE INFORMATICA DE RURAL,1,"30,410","30,410"
COORDINADOR DE INFORME DE GOBIERNO,1,"27,098","27,098"
COORDINADOR DE INFRAESTRUCTURA RURAL,6,"17,636","17,636"
COORDINADOR DE INFRAESTRUCTURA Y SERVICIOS,1,"19,239","19,239"
COORDINADOR DE INGENIERIA EN SISTEMAS,1,"30,410","30,410"
COORDINADOR DE INGENIERIA VIAL,1,"24,638","24,638"
COORDINADOR DE INSCRIPCIONES,1,"15,425","15,425"
COORDINADOR DE INSTALACIONES ELECTROMECANICAS,1,"24,638","24,638"
COORDINADOR DE INSTITUCIONES DE EDUCACION SUPERIOR PARTICULARES,1,"37,358","37,358"
COORDINADOR DE INVESTIGACION,1,"19,239","19,239"
COORDINADOR DE INVESTIGACION PARA EL DESARROLLO,1,"24,638","24,638"
COORDINADOR DE INVESTIGACION Y POSGRADO,1,"37,358","37,358"
COORDINADOR DE INVESTIGACION Y PROYECTOS,3,"19,239","19,239"
COORDINADOR DE INVESTIGACION Y PROYECTOS ESPECIALES,1,"21,675","21,675"
COORDINADOR DE LA COMISION DE ADQUISICIONES,7,"19,239","19,239"
COORDINADOR DE LA UNIDAD DE INVESTIG DE HOMICIDIOS DOLOSOS,1,"50,402","50,402"
COORDINADOR DE LITERATURA,1,"21,675","21,675"
COORDINADOR DE LOS CENTROS ADMVOS PRIMARIOS DEL CECAJ,1,"30,410","30,410"
COORDINADOR DE LOS CONSEJOS REGIONALES DE SEG.PUBLICA,1,"24,638","24,638"
COORDINADOR DE MANTENIMIENTO,2,"17,636","17,636"
COORDINADOR DE MANTENIMIENTO A,3,"19,239","19,239"
COORDINADOR DE MANTENIMIENTO DE REDES,1,"19,532","19,532"
COORDINADOR DE MANTENIMIENTO VEHICULAR,2,"16,102","16,102"
COORDINADOR DE MEDICINA DEL TRABAJO,1,"37,358","37,358"
COORDINADOR DE MEDIOS DE COMUNCACION DEL CECAJ,1,"16,102","16,102"
COORDINADOR DE MEDIOS DE COMUNICACION,1,"50,402","50,402"
COORDINADOR DE MOVIMIENTOS AL IMSS,1,"24,638","24,638"
COORDINADOR DE MUSICA,1,"21,675","21,675"
