ingreso,tipo,subtipo,monto,year
"Transferencias, Asignaciones, Subsidios y Otras Ayudas",Transferencias Asignaciones,Universidad de Guadalajara,"5,991,225,350",2019
"Transferencias, Asignaciones, Subsidios y Otras Ayudas",Transferencias Asignaciones,Apoyos extraordinarios,0,2019
"Transferencias, Asignaciones, Subsidios y Otras Ayudas",Transferencias al resto del sector publico (Derogado),-,NA,2019
"Transferencias, Asignaciones, Subsidios y Otras Ayudas",Subsidios y subvenciones ,-,0,2019
"Transferencias, Asignaciones, Subsidios y Otras Ayudas",Ayudas sociales (Derogado),-,NA,2019
"Transferencias, Asignaciones, Subsidios y Otras Ayudas",Pensiones y jubilaciones,-,0,2019
"Transferencias, Asignaciones, Subsidios y Otras Ayudas","Transferencias a fideicomisos, mandatos y analogos (Derogado)",-,NA,2019
"Transferencias, Asignaciones, Subsidios y Otras Ayudas",Transferecias del fondo mexicano del petroleo para la estabilizacion y el desarrollo,-,0,2019
Ingresos derivados de financiamientos,Endeudamiento interno,-,0,2019
Ingresos derivados de financiamientos,Endeudamiento externo,-,0,2019
,Financiamiento interno,-,0,2019
