Gobierno del Estado de Jalisco,,,,
Presupuesto de egresos para el ejercicio fiscal 2019,,,,
Unidad Presupuestal - Unidad Responsable y Programa Presupuestario,,,,
UP,UR,PP,Programa Presupuestario,Importe
Total Unidad Responsable 000,,,,"1,410,850,710.87"
Total Unidad Presupuestal 03,,,,"1,410,850,710.87"
SECRETARÍA DE EDUCACIÓN,,,,
,SECRETARÍA DE EDUCACIÓN,,,
04,000,111,Impartición de la Educación Preescolar,"1,620,990,083.85"
04,000,112,Impartición de la Educación Primaria,"24,499,964,760.54"
04,000,113,Impartición de la Educación Secundaria,"2,419,723,463.19"
04,000,121,Acciones de Apoyo a la Currícula de Educación Básica,"222,184,720.63"
04,000,127,Programa para la Inclusión y la Equidad Educativa,"4,122,000.00"
04,000,131,Tecnologías para Potenciar el Proceso de Enseñanza Aprendizaje en la Educación Básica,"8,954,594.12"
04,000,132,Fortalecimiento de la Vinculación entre los Niveles de Educación Básica y las Actividades de Apoyo Escolar,"150,315,397.51"
04,000,133,Programa Becas Económicas,"25,817,654.73"
04,000,137,Actualización y Capacitación Continua a Docentes de Educación Básica en Servicio,"68,619,410.11"
04,000,147,Fomento de la Participación Social en la Educación Básica,"18,314,868.65"
04,000,649,Impartición de la Educación Media Superior y la Capacitación para el Trabajo,"23,621,208.94"
04,000,652,Conducción de la Política Educativa,"69,769,409.16"
04,000,655,Administración Educativa Regional,"111,572,632.08"
04,000,790,Programa de la Reforma Educativa,"29,381,640.00"
04,000,807,Administración del Sistema Educativo Estatal,"489,013,171.71"
04,000,808,Planeación y Evaluación del Sistema Educativo Estatal,"51,272,204.21"
04,000,809,Apoyos educativos para grupos vulnerables y la formación integral,"721,814,991.81"
04,000,810,Formación inicial y de posgrado para los docentes de educación básica,"244,866,413.44"
04,000,811,Fomento de la salud de los alumnos de Educación Básica,"99,621,307.93"
Total Unidad Responsable 000,,,,"30,879,939,932.61"
,COLEGIO NACIONAL DE EDUCACIÓN PROFESIONAL TÉCNICA DEL ESTADO DE JALISCO,,,
04,009,148,Formación Profesional Técnica y Técnica Bachiller,"317,718,814.04"
Total Unidad Responsable 009,,,,"317,718,814.04"
,COLEGIO DE ESTUDIOS CIENTÍFICOS Y TECNOLÓGICOS DEL ESTADO DE JALISCO,,,
04,010,149,Oferta de bachillerato tecnológico con calidad y pertinencia en Jalisco,"414,700,705.76"
Total Unidad Responsable 010,,,,"414,700,705.76"
,COLEGIO DE BACHILLERES DEL ESTADO DE JALISCO,,,
04,011,150,Oferta de Bachillerato General en el estado de Jalisco en sus diferentes Opciones,"575,469,082.56"
Total Unidad Responsable 011,,,,"575,469,082.56"
,INSTITUTO DE FORMACIÓN PARA EL TRABAJO DEL ESTADO DE JALISCO (IDEFT),,,
04,013,151,Formación y Capacitación para el Trabajo,"115,753,937.42"
Total Unidad Responsable 013,,,,"115,753,937.42"
,INSTITUTO ESTATAL PARA LA EDUCACIÓN DE JÓVENES Y ADULTOS (INEEJAD),,,
04,014,152,Operación de los servicios educativos del Instituto Estatal para la Educación de Jóvenes y Adultos,"156,037,967.00"
Total Unidad Responsable 014,,,,"156,037,967.00"
Total Unidad Presupuestal 04,,,,"32,459,620,439.39"
SECRETARÍA DE SALUD JALISCO,,,,
,SECRETARÍA DE SALUD JALISCO,,,
05,000,665,Rectoría del Sector Salud,"972,464,341.00"
Total Unidad Responsable 000,,,,"972,464,341.00"
,O.P.D. SERVICIOS DE SALUD JALISCO,,,
05,016,182,Ampliar el acceso efectivo a los servicios de salud,"1,285,428,326.00"
05,016,190,Programa de Calidad en la Prestación de los Servicios de Salud a la Persona,"3,121,545,162.83"
05,016,193,Impulsar la integración funcional hacia la universalidad de los servicios de salud,"1,217,023,180.06"
Total Unidad Responsable 016,,,,"5,623,996,668.89"
,O.P.D. HOSPITAL CIVIL DE GUADALAJARA,,,
05,017,909,"Prevención, Promoción, Atención y Formación en Salud para Proporcionar Servicios Integrales de Segundo y Tercer nivel a nuestra Población Usuaria.","3,888,142,173.80"
Total Unidad Responsable 017,,,,"3,888,142,173.80"
,INSTITUTO JALISCIENSE DE CANCEROLOGÍA,,,
05,018,801,Atención especializada a pacientes con cáncer,"61,051,779.00"
Total Unidad Responsable 018,,,,"61,051,779.00"
,CONSEJO ESTATAL DE TRASPLANTES DE ÓRGANOS Y TEJIDOS,,,
05,019,164,Fortalecimiento de la cultura integral de trasplante de órganos y tejidos,"14,120,360.00"
Total Unidad Responsable 019,,,,"14,120,360.00"
,COMISIÓN DE ARBITRAJE MÉDICO DEL ESTADO DE JALISCO,,,
05,022,191,Atención del conflicto médico paciente,"9,536,114.00"
Total Unidad Responsable 022,,,,"9,536,114.00"
,RÉGIMEN ESTATAL DE PROTECCIÓN SOCIAL EN SALUD DE JALISCO,,,
05,114,713,Sistema de Protección Social en Salud de Jalisco,"2,907,836,602.00"
Total Unidad Responsable 114,,,,"2,907,836,602.00"
,CONSEJO ESTATAL CONTRA LAS ADICCIONES EN JALISCO,,,
05,149,155,Operación de los Centros de Atención Primaria en Adicciones (CAPA),"19,832,800.93"
05,149,637,Prevención en el uso y abuso de sustancias adictivas,"59,407,009.15"
Total Unidad Responsable 149,,,,"79,239,810.08"
,CONSEJO ESTATAL PARA LA PREVENCIÓN DE ACCIDENTES,,,
05,150,171,Prevención de Accidentes,"1,906,760.00"
05,150,172,Sistema de Atención Médica de Urgencias (S.A.M.U.),"22,615,002.00"
Total Unidad Responsable 150,,,,"24,521,762.00"
,CONSEJO ESTATAL PARA LA PREVENCIÓN DEL SÍNDROME DE INMUNODEFICIENCIA ADQUIRIDA (VIH),,,
05,151,178,Prevención y control del Virus de la Inmunodeficiencia Humana,"19,361,866.22"
Total Unidad Responsable 151,,,,"19,361,866.22"
,O.P.D. SERVICIOS DE SALUD JALISCO (INSTITUTO JALISCIENSE DE SALUD MENTAL),,,
05,153,167,"Promoción, prevención y Atención oportuna de los trastornos mentales en la población jalisciense.","105,721,737.00"
Total Unidad Responsable 153,,,,"105,721,737.00"
,O.P.D. SERVICIOS DE SALUD JALISCO (INSTITUTO JALISCIENSE DE ALIVIO DEL DOLOR Y CUIDADOS PALIATIVOS),,,
05,154,189,"Atención medica con calidad a pacientes con dolor crónico o fase terminal, en el Estado de Jalisco.","8,504,746.00"
Total Unidad Responsable 154,,,,"8,504,746.00"
,O.P.D. SERVICIOS DE SALUD JALISCO (COMISIÓN PARA LA PROTECCIÓN CONTRA RIESGOS SANITARIOS DEL ESTADO DE JALISCO),,,
05,155,715,Programas y Proyectos de Protección contra Riesgos Sanitarios,"37,428,559.00"
Total Unidad Responsable 155,,,,"37,428,559.00"
Total Unidad Presupuestal 05,,,,"13,751,926,518.99"
SECRETARÍA DE INFRAESTRUCTURA Y OBRA PÚBLICA,,,,
,SECRETARÍA DE INFRAESTRUCTURA Y OBRA PÚBLICA,,,
06,000,195,Ejecución y supervisión de la obra pública,"1,446,558,506.19"
06,000,196,Proyectos para el desarrollo de infraestructura urbana en el estado de Jalisco,"9,340,736.00"
06,000,205,Fondo Complementario para el Desarrollo Regional (FONDEREG),"240,000,000.00"
06,000,206,Obra Pública mediante los Fondos Metropolitanos de Jalisco,"515,581,685.00"
06,000,214,Conservación de la red carretera estatal,"1,252,761,365.00"
06,000,216,Construcción de la red carretera estatal,"6,226,704.00"
06,000,219,Gestión y fomento para el desarrollo y la mejora de infraestructura social y productiva del Estado de Jalisco,"355,883,813.30"
06,000,269,Generación de Infraestructura Productiva Rural y Social Básica,"625,524,155.00"
06,000,270,Infraestructura en Caminos Rurales,"2,078,072.00"
06,000,734,Fondo concursable para el Desarrollo de infraestructura en los Municipios del Estado.,"200,000,000.00"
06,000,910,"Gestión para el desarrollo de la Infraestructura en la entidad, mediante la proyección y construcción de las obras públicas.","327,009,185.84"
Total Unidad Responsable 000,,,,"4,980,964,222.33"
,INSTITUTO DE LA INFRAESTRUCTURA FÍSICA EDUCATIVA DE JALISCO,,,
06,015,812,Operación de los programas de infraestructura escolar en el Estado,"570,034,116.00"
Total Unidad Responsable 015,,,,"570,034,116.00"
Total Unidad Presupuestal 06,,,,"5,550,998,338.33"
SECRETARÍA DE DESARROLLO ECONÓMICO,,,,
,SECRETARÍA DE DESARROLLO ECONÓMICO,,,
07,000,225,Jalisco Competitivo,"142,407,114.03"
07,000,228,Invierte en Jalisco,"100,757,185.98"
07,000,231,Principios de Buen Gobierno y Desarrollo institucional,"40,734,870.74"
Total Unidad Responsable 000,,,,"283,899,170.75"
,CONSEJO ESTATAL DE PROMOCIÓN ECONÓMICA,,,
07,026,235,"Fomento a la Industria, Comercio y Servicios CEPE","35,293,397.90"
Total Unidad Responsable 026,,,,"35,293,397.90"
,FONDO JALISCO DE FOMENTO EMPRESARIAL (FOJAL),,,
07,031,251,Fondo Jalisco de Fomento Empresarial,"10,000,000.00"
Total Unidad Responsable 031,,,,"10,000,000.00"
,FIDEICOMISO COMISIÓN DE FILMACIONES DEL ESTADO DE JALISCO,,,
07,095,237,"Infraestructura cinematográfica, audiovisual y de publicidad","21,500,000.00"
Total Unidad Responsable 095,,,,"21,500,000.00"
,AGENCIA DE ENERGÍA DEL ESTADO DE JALISCO,,,
07,147,818,Desarrollo y ejecución de la política y estrategia energética del Estado,"9,825,428.54"
Total Unidad Responsable 147,,,,"9,825,428.54"
Total Unidad Presupuestal 07,,,,"360,517,997.19"
SECRETARÍA DE TURISMO,,,,
,SECRETARÍA DE TURISMO,,,
08,000,253,Conducción de la Política Turística Estatal,"23,669,100.36"
08,000,254,Promoción Turística del Estado de Jalisco,"57,355,251.80"
08,000,256,Planeación y Desarrollo de Producto,"6,213,815.57"
08,000,257,Recorridos turísticos,"35,243,196.62"
08,000,258,Información Estadística e Investigación de Mercados,"222,662.50"
08,000,261,Soporte Jurídico de la Secretaría de Turismo,"13,259,142.38"
08,000,262,Promoción y Fomento a la Inversión Turística Privada,"882,868.98"
08,000,267,Apoyo a la operación turística regional,"11,747,485.45"
08,000,653,Gestión de Inversión Pública en Infraestructura y equipamiento turístico,"41,380,873.56"
08,000,659,Capacitación y Competitividad Turística,"379,759.76"
Total Unidad Responsable 000,,,,"190,354,156.98"
Total Unidad Presupuestal 08,,,,"190,354,156.98"
SECRETARÍA DE AGRICULTURA Y DESARROLLO RURAL,,,,
,SECRETARÍA DE AGRICULTURA Y DESARROLLO RURAL,,,
09,000,275,Desarrollo y fomento de Actividades Acuícolas y Pesqueras en el Estado de Jalisco,"652,879,160.52"
09,000,276,Estímulo y reactivación de rastros,"516,063.49"
09,000,279,Programa las Organizaciones Cooperativas para el Bienestar de la Mujer Productiva Rural.,"2,177,000.00"
09,000,290,"Programa de Apoyo a la Agricultura, seguro por siniestros en actividades agropecuarias","78,218,425.13"
09,000,292,Fortalecimiento a los Centros de Desarrollo Frutícola CDF y capacitación a productores hortofrutícolas de Jalisco,"29,198,686.00"
09,000,296,Programa Estatal de Apoyo y Servicios a la Ganadería y al Sector Lechero,"19,559,973.33"
09,000,304,Programa de apoyo a la agricultura a través de insumos estratégicos,"511,766,997.71"
09,000,305,"Promoción Comercial de Productos Agropecuarios y Acuícolas en Ferias, Expos y Giras Comerciales","5,463,091.25"
09,000,319,"Programa de planeación, capacitación y desarrollo rural sustentable en el Estado de Jalisco","94,583,530.26"
09,000,320,Administración y Operación de Recursos de la Secretaría de Agriultura y Desarrollo Rural,"143,479,462.74"
Total Unidad Responsable 000,,,,"1,537,842,390.43"
,FIDEICOMISO ALIANZA PARA EL CAMPO EN EL ESTADO DE JALISCO (FACEJ),,,
09,038,200,Construcción de Obras Hidráulicas en el Estado,"25,000,000.00"
09,038,318,Programa de Concurrencia,"74,200,000.00"
09,038,917,Programa de proyectos estratégicos del FACEJ,"90,812,500.00"
Total Unidad Responsable 038,,,,"190,012,500.00"
Total Unidad Presupuestal 09,,,,"1,727,854,890.43"
SECRETARÍA DE MEDIO AMBIENTE Y DESARROLLO TERRITORIAL,,,,
,SECRETARÍA DE MEDIO AMBIENTE Y DESARROLLO TERRITORIAL,,,
10,000,321,Gestión Sustentable del Territorio,"69,093,271.00"
10,000,326,Ordenamiento Ecológico y Territorial,"20,801,746.00"
10,000,327,Desarrollo urbano,"216,000.00"
10,000,328,Gestión Ambiental en el Estado de Jalisco,"97,109,836.00"
10,000,329,Gobernanza para la sustentabilidad,"45,496,205.12"
10,000,330,"Manejo, Conservación, Restauración y Protección de los ecosistemas del Estado","97,384,893.21"
10,000,333,"Transparencia, Eficiencia y Gestión Administrativa en la Secretaria del Medio Ambiente y Desarrollo Territorial","57,285,284.43"
10,000,905,Conservación y Manejo de los Ecosistemas y Biodiversidad del Estado,"30,590,000.00"
Total Unidad Responsable 000,,,,"417,977,235.76"
,FIDEICOMISO DE DESARROLLO URBANO DE JALISCO (FIDEUR),,,
10,025,745,Desarrollo Urbano Sustentable en el Estado de Jalisco,"1,000,000.00"
Total Unidad Responsable 025,,,,"1,000,000.00"
,ORGANISMO OPERADOR DEL PARQUE DE LA SOLIDARIDAD,,,
10,040,332,Atención a personas que visitan los parques Solidaridad y Montenegro,"28,000,000.00"
Total Unidad Responsable 040,,,,"28,000,000.00"
,PARQUE METROPOLITANO DE GUADALAJARA,,,
10,041,331,Administración y Operación del Parque Metropolitano de Guadalajara,"17,000,000.00"
Total Unidad Responsable 041,,,,"17,000,000.00"
,OPD BOSQUE LA PRIMAVERA,,,
10,042,324,Administración y Manejo del Área de Protección de Flora y Fauna La Primavera,"29,503,039.00"
Total Unidad Responsable 042,,,,"29,503,039.00"
,FIDEICOMISO PARA LA ADMINISTRACIÓN DEL PROGRAMA DE DESARROLLO FORESTAL DEL ESTADO DE JALISCO (FIPRODEFO),,,
10,043,325,"Programa de Impulso al Desarrollo de los Sectores Agropecuarios, Forestal y Vida Silvestre","15,245,397.44"
Total Unidad Responsable 043,,,,"15,245,397.44"
,PROCURADURÍA DE DESARROLLO URBANO,,,
10,082,918,Planeación Urbana para la restitución de garantías a grupos vulnerables,"514,710.00"
10,082,921,Desarrollo Urbano equitativo y ordenado con enfoque de ciudades y comunidades sostenibles,"21,636,378.00"
Total Unidad Responsable 082,,,,"22,151,088.00"
,PROCURADURÍA ESTATAL DE PROTECCIÓN AL AMBIENTE,,,
10,156,322,"Normatividad, Seguridad y Justicia Ambiental","66,909,005.00"
Total Unidad Responsable 156,,,,"66,909,005.00"
,FONDO ESTATAL DE PROTECCIÓN AL AMBIENTE DEL ESTADO DE JALISCO,,,
10,799,920,Gestión estratégica para el desarrollo sustentable de Jalisco,"83,508,333.00"
Total Unidad Responsable 799,,,,"83,508,333.00"
Total Unidad Presupuestal 10,,,,"681,294,098.20"
SECRETARÍA DEL SISTEMA DE ASISTENCIA SOCIAL,,,,
,SECRETARÍA DEL SISTEMA DE ASISTENCIA SOCIAL,,,
11,000,335,Estrategias para la Superación de la Pobreza y Desarrollo Territorial,"199,518,568.18"
11,000,337,"Ampliación de Oportunidades Educativas para Niñas, Niños y Jóvenes","506,208,758.00"
11,000,342,Bienestar económico y social para los adultos mayores,"132,635,905.04"
11,000,346,Coinversión Social,"62,526,343.00"
11,000,347,Seguridad Alimentaria,"67,505,415.46"
11,000,350,Apoyo de Seguridad Social a personas lesionadas por las explosiones del 22 de abril de 1992 en Guadalajara,"1,503,358.33"
11,000,351,Fortalecimiento Institucional para la Operación de Programas Sociales,"49,298,710.88"
11,000,378,Servicios de Asistencia Social a Grupos Vulnerables,"17,000,000.00"
11,000,912,Inclusión de Personas con Discapacidad,"171,114,646.64"
11,000,913,Apoyo al ingreso del hogar con jefatura femenina,"217,029,592.98"
Total Unidad Responsable 000,,,,"1,424,341,298.51"
,SISTEMA PARA EL DESARROLLO INTEGRAL DE LA FAMILIA JALISCO (DIF),,,
11,045,356,Bienestar de la niñez y sus familias,"111,251,933.72"
11,045,357,Bienestar alimentario y desarrollo comunitario,"714,150,358.27"
11,045,358,Inclusión para el Bienestar de Grupos Prioritarios,"323,908,900.06"
Total Unidad Responsable 045,,,,"1,149,311,192.05"
,HOGAR CABAÑAS,,,
11,046,373,"Atención integral de niñas, niños y adolescentes en situación de vulnerabilidad","92,948,929.50"
Total Unidad Responsable 046,,,,"92,948,929.50"
Total Unidad Presupuestal 11,,,,"2,666,601,420.06"
"SECRETARÍA DE INNOVACIÓN, CIENCIA Y TECNOLOGÍA",,,,
,"SECRETARÍA DE INNOVACIÓN, CIENCIA Y TECNOLOGÍA",,,
12,000,391,Programa de Impulso a la Ciencia y Desarrollo Tecnológico,"9,239,475.00"
12,000,392,"Educación superior con calidad, pertinencia, equidad y flexibilidad","160,005,879.98"
12,000,437,"Proyectos de Innovación, Empresarial y Social","10,618,690.00"
12,000,692,"Conducción de la Política de Innovación, Ciencia y Tecnología.","59,621,206.47"
Total Unidad Responsable 000,,,,"239,485,251.45"
,UNIVERSIDAD TECNOLÓGICA DE JALISCO,,,
12,050,395,Educación Superior Tecnológica en las Regiones (UTJ),"57,655,390.00"
Total Unidad Responsable 050,,,,"57,655,390.00"
,UNIVERSIDAD TECNOLÓGICA DE LA ZONA METROPOLITANA DE GUADALAJARA,,,
12,058,406,Educación Superior Tecnológica en las Regiones (UTZMG),"25,243,481.00"
Total Unidad Responsable 058,,,,"25,243,481.00"
,UNIVERSIDAD POLITÉCNICA DE LA ZONA METROPOLITANA DE GUADALAJARA,,,
12,063,420,Educación Superior Tecnológica en las Regiones (UPZMG),"14,806,800.00"
Total Unidad Responsable 063,,,,"14,806,800.00"
,CONSEJO ESTATAL DE CIENCIA Y TECNOLOGÍA DEL ESTADO DE JALISCO,,,
12,067,660,"Gestión de Fondos y Programas de Apoyo de Ciencia, Tecnología e Innovación","68,899,034.00"
12,067,661,Operación del Fondo de Ciencia y Tecnología de Jalisco,"77,925,000.00"
Total Unidad Responsable 067,,,,"146,824,034.00"
,FIDEICOMISO CIUDAD CREATIVA DIGITAL,,,
12,115,220,Ciudad Creativa Digital,"1,784,000.00"
Total Unidad Responsable 115,,,,"1,784,000.00"
,INSTITUTO TECNOLÓGICO JOSÉ MARIO MOLINA PASQUEL Y HENRÍQUEZ,,,
12,116,401,Educación Superior Tecnológica en las Regiones,"279,678,058.00"
Total Unidad Responsable 116,,,,"279,678,058.00"
,OPD CIUDAD CREATIVA DIGITAL,,,
12,202,946,Ciudad Creativa Digital,"47,000,402.55"
Total Unidad Responsable 202,,,,"47,000,402.55"
Total Unidad Presupuestal 12,,,,"812,477,417.00"
SECRETARÍA DE CULTURA,,,,
,SECRETARÍA DE CULTURA,,,
13,000,447,Programa de Desarrollo Cultural en los Municipios,"51,284,144.90"
13,000,453,Programa de Protección y Aprovechamiento del Patrimonio Cultural de Jalisco,"60,620,676.00"
13,000,464,Programa de Fomento Cultural y Artístico,"48,438,161.40"
13,000,662,Fortalecimiento de la cultura científica y la apropiación social de la ciencia (Lunaria),"26,727,000.00"
13,000,701,Museo Trompo Mágico,"51,936,255.89"
13,000,814,Programa para el Desarrollo del Sector Artístico,"20,779,541.00"
13,000,816,"Programa para la Planeación, Difusión, Operación y Evaluación de la Política Cultural.","128,022,108.09"
13,000,906,Programa de Fomento a la Lectura,"92,427,086.00"
13,000,907,Programa de Formación Artística,"572,800.00"
Total Unidad Responsable 000,,,,"480,807,773.28"
,ESCUELA DE CONSERVACIÓN Y RESTAURACIÓN DE OCCIDENTE,,,
13,056,795,Educación Superior en Restauración de Bienes Muebles (ECRO),"5,398,822.00"
Total Unidad Responsable 056,,,,"5,398,822.00"
,INSTITUTO CULTURAL CABAÑAS,,,
13,069,427,"Programa de conservación, promoción y difusión del Instituto Cultural Cabañas","25,630,990.56"
Total Unidad Responsable 069,,,,"25,630,990.56"
,SISTEMA JALISCIENSE DE RADIO Y TELEVISIÓN,,,
13,071,436,Radio y Televisión Jalisciense,"56,828,116.00"
Total Unidad Responsable 071,,,,"56,828,116.00"
,FIDEICOMISO ORQUESTA FILARMÓNICA DE JALISCO (FOFJ),,,
13,072,465,"Programa de Operación, Promoción y Difusión de la Orquesta Filarmónica de Jalisco","50,876,269.93"
Total Unidad Responsable 072,,,,"50,876,269.93"
,FIDEICOMISO FONDO ESTATAL DE FOMENTO PARA LA CULTURA Y LAS ARTES (FEFCA),,,
13,083,445,Programa de Fomento a la Cultura y las Artes en el Estado de Jalisco,"45,262,062.94"
13,083,448,"Sistema Estatal de Ensambles y Orquestas Comunitarias: ECOS, Música para el Desarrollo","34,235,142.00"
Total Unidad Responsable 083,,,,"79,497,204.94"
,CONSEJO ESTATAL PARA LA CULTURA Y LAS ARTES,,,
13,160,451,Actividades del Consejo Estatal para la Cultura y las Artes,"4,067,570.00"
Total Unidad Responsable 160,,,,"4,067,570.00"
Total Unidad Presupuestal 13,,,,"703,106,746.71"
SECRETARÍA DEL TRABAJO Y PREVISIÓN SOCIAL,,,,
,SECRETARÍA DEL TRABAJO Y PREVISIÓN SOCIAL,,,
14,000,466,Conducción de la Secretaría del Trabajo y Previsión Social,"11,407,146.00"
14,000,467,Impartición de Justicia Laboral en el Estado,"148,722,608.00"
14,000,468,Procuración de Justicia Laboral y Conciliación Laboral Administrativa en el Estado,"27,359,770.00"
14,000,469,Programa de Apoyo para el fortalecimiento del Empleo en el Estado,"139,663,448.00"
14,000,471,Fomentar el Cumplimiento de la Normatividad Laboral y de Seguridad e Higiene del Estado,"23,659,927.03"
14,000,639,Administración de recursos de la Secretaría del Trabajo y Previsión Social,"86,952,291.81"
Total Unidad Responsable 000,,,,"437,765,190.84"
Total Unidad Presupuestal 14,,,,"437,765,190.84"
SECRETARÍA DEL TRANSPORTE,,,,
,SECRETARÍA DEL TRANSPORTE,,,
15,000,472,Resolución de procedimientos jurídicos en materia de movilidad en el Estado.,"56,046,761.77"
15,000,475,"Información Ciudadana y Administración Eficiente y Eficaz de los Recursos Humanos, Materiales y Financieros de la Secretaría del Transporte","219,961,841.88"
15,000,477,Operación y mejoramiento de los dispositivos de control de tráfico.,"133,106,706.34"
15,000,479,Autorización en la aplicación de los lineamientos técnicos para modificación de la infraestructura vial.,"25,817,261.50"
15,000,480,Concesiones y Reordenamiento de rutas del Servicio de Transporte Público en sus diferentes modalidades,"73,963,675.71"
15,000,481,Profesionalización de los servidores públicos; sistematización y mejoramiento de los procesos.,"12,029,458.00"
15,000,484,Operación de la vigilancia vial.,"628,863,055.58"
15,000,485,Promoción de la cultura vial y servicios de movilidad.,"78,431,291.79"
15,000,486,Programa de Emisión de Licencias de Conducir,"70,806,916.60"
15,000,487,Operativo Salvando Vidas,"11,811,054.00"
Total Unidad Responsable 000,,,,"1,310,838,023.17"
,SISTEMA DE TREN ELÉCTRICO URBANO (SITEUR),,,
15,075,488,Sistema de Tren Eléctrico Urbano.,"98,252,779.84"
Total Unidad Responsable 075,,,,"98,252,779.84"
,SECRETARÍA DEL TRANSPORTE (REGISTRO ESTATAL DE LOS SERVICIOS PÚBLICOS DE TRÁNSITO Y TRANSPORTE),,,
15,161,483,Administración del registro y manejo de la información de los actos y actores de movilidad.,"193,922.50"
Total Unidad Responsable 161,,,,"193,922.50"
,FIDEICOMISO DE ADMINISTRACIÓN PARA LA MEJORA DE LA SEGURIDAD VIAL,,,
15,729,924,Programa de mejora de la Seguridad Vial,"200,000,000.00"
Total Unidad Responsable 729,,,,"200,000,000.00"
