Gobierno del Estado de Jalisco,,,,,
Presupuesto de egresos para el ejercicio fiscal 2019,,,,,
Unidad Presupuestal - Unidad Responsable y Programa Presupuestario,,,,,
UP,UR,PP,Programa Presupuestario,Importe,Year
04,010,149,Oferta de bachillerato tecnológico con calidad y pertinencia en Jalisco,"414,700,705.76",2019
04,011,150,Oferta de Bachillerato General en el estado de Jalisco en sus diferentes Opciones,"575,469,082.56",2019
04,013,151,Formación y Capacitación para el Trabajo,"115,753,937.42",2019
04,014,152,Operación de los servicios educativos del Instituto Estatal para la Educación de Jóvenes y Adultos,"156,037,967.00",2019
05,000,665,Rectoría del Sector Salud,"972,464,341.00",2019
05,016,182,Ampliar el acceso efectivo a los servicios de salud,"1,285,428,326.00",2019
05,016,190,Programa de Calidad en la Prestación de los Servicios de Salud a la Persona,"3,121,545,162.83",2019
05,016,193,Impulsar la integración funcional hacia la universalidad de los servicios de salud,"1,217,023,180.06",2019
05,017,909,"Prevención, Promoción, Atención y Formación en Salud para Proporcionar Servicios Integrales de Segundo y Tercer nivel a nuestra Población Usuaria.","3,888,142,173.80",2019
05,018,801,Atención especializada a pacientes con cáncer,"61,051,779.00",2019
05,019,164,Fortalecimiento de la cultura integral de trasplante de órganos y tejidos,"14,120,360.00",2019
05,022,191,Atención del conflicto médico paciente,"9,536,114.00",2019
05,114,713,Sistema de Protección Social en Salud de Jalisco,"2,907,836,602.00",2019
05,149,155,Operación de los Centros de Atención Primaria en Adicciones (CAPA),"19,832,800.93",2019
05,149,637,Prevención en el uso y abuso de sustancias adictivas,"59,407,009.15",2019
05,150,171,Prevención de Accidentes,"1,906,760.00",2019
05,150,172,Sistema de Atención Médica de Urgencias (S.A.M.U.),"22,615,002.00",2019
05,151,178,Prevención y control del Virus de la Inmunodeficiencia Humana,"19,361,866.22",2019
05,153,167,"Promoción, prevención y Atención oportuna de los trastornos mentales en la población jalisciense.","105,721,737.00",2019
05,154,189,"Atención medica con calidad a pacientes con dolor crónico o fase terminal, en el Estado de Jalisco.","8,504,746.00",2019
05,155,715,Programas y Proyectos de Protección contra Riesgos Sanitarios,"37,428,559.00",2019
06,000,195,Ejecución y supervisión de la obra pública,"1,446,558,506.19",2019
06,000,196,Proyectos para el desarrollo de infraestructura urbana en el estado de Jalisco,"9,340,736.00",2019
06,000,205,Fondo Complementario para el Desarrollo Regional (FONDEREG),"240,000,000.00",2019
06,000,206,Obra Pública mediante los Fondos Metropolitanos de Jalisco,"515,581,685.00",2019
06,000,214,Conservación de la red carretera estatal,"1,252,761,365.00",2019
06,000,216,Construcción de la red carretera estatal,"6,226,704.00",2019
06,000,219,Gestión y fomento para el desarrollo y la mejora de infraestructura social y productiva del Estado de Jalisco,"355,883,813.30",2019
06,000,269,Generación de Infraestructura Productiva Rural y Social Básica,"625,524,155.00",2019
06,000,270,Infraestructura en Caminos Rurales,"2,078,072.00",2019
06,000,734,Fondo concursable para el Desarrollo de infraestructura en los Municipios del Estado.,"200,000,000.00",2019
06,000,910,"Gestión para el desarrollo de la Infraestructura en la entidad, mediante la proyección y construcción de las obras públicas.","327,009,185.84",2019
06,015,812,Operación de los programas de infraestructura escolar en el Estado,"570,034,116.00",2019
07,000,225,Jalisco Competitivo,"142,407,114.03",2019
07,000,228,Invierte en Jalisco,"100,757,185.98",2019
07,000,231,Principios de Buen Gobierno y Desarrollo institucional,"40,734,870.74",2019
07,026,235,"Fomento a la Industria, Comercio y Servicios CEPE","35,293,397.90",2019
07,031,251,Fondo Jalisco de Fomento Empresarial,"10,000,000.00",2019
07,095,237,"Infraestructura cinematográfica, audiovisual y de publicidad","21,500,000.00",2019
07,147,818,Desarrollo y ejecución de la política y estrategia energética del Estado,"9,825,428.54",2019
08,000,253,Conducción de la Política Turística Estatal,"23,669,100.36",2019
08,000,254,Promoción Turística del Estado de Jalisco,"57,355,251.80",2019
08,000,256,Planeación y Desarrollo de Producto,"6,213,815.57",2019
08,000,257,Recorridos turísticos,"35,243,196.62",2019
08,000,258,Información Estadística e Investigación de Mercados,"222,662.50",2019
08,000,261,Soporte Jurídico de la Secretaría de Turismo,"13,259,142.38",2019
08,000,262,Promoción y Fomento a la Inversión Turística Privada,"882,868.98",2019
08,000,267,Apoyo a la operación turística regional,"11,747,485.45",2019
08,000,653,Gestión de Inversión Pública en Infraestructura y equipamiento turístico,"41,380,873.56",2019
08,000,659,Capacitación y Competitividad Turística,"379,759.76",2019
09,000,275,Desarrollo y fomento de Actividades Acuícolas y Pesqueras en el Estado de Jalisco,"652,879,160.52",2019
09,000,276,Estímulo y reactivación de rastros,"516,063.49",2019
09,000,279,Programa las Organizaciones Cooperativas para el Bienestar de la Mujer Productiva Rural.,"2,177,000.00",2019
09,000,290,"Programa de Apoyo a la Agricultura, seguro por siniestros en actividades agropecuarias","78,218,425.13",2019
09,000,292,Fortalecimiento a los Centros de Desarrollo Frutícola CDF y capacitación a productores hortofrutícolas de Jalisco,"29,198,686.00",2019
09,000,296,Programa Estatal de Apoyo y Servicios a la Ganadería y al Sector Lechero,"19,559,973.33",2019
09,000,304,Programa de apoyo a la agricultura a través de insumos estratégicos,"511,766,997.71",2019
09,000,305,"Promoción Comercial de Productos Agropecuarios y Acuícolas en Ferias, Expos y Giras Comerciales","5,463,091.25",2019
09,000,319,"Programa de planeación, capacitación y desarrollo rural sustentable en el Estado de Jalisco","94,583,530.26",2019
09,000,320,Administración y Operación de Recursos de la Secretaría de Agriultura y Desarrollo Rural,"143,479,462.74",2019
09,038,200,Construcción de Obras Hidráulicas en el Estado,"25,000,000.00",2019
09,038,318,Programa de Concurrencia,"74,200,000.00",2019
09,038,917,Programa de proyectos estratégicos del FACEJ,"90,812,500.00",2019
10,000,321,Gestión Sustentable del Territorio,"69,093,271.00",2019
10,000,326,Ordenamiento Ecológico y Territorial,"20,801,746.00",2019
10,000,327,Desarrollo urbano,"216,000.00",2019
10,000,328,Gestión Ambiental en el Estado de Jalisco,"97,109,836.00",2019
10,000,329,Gobernanza para la sustentabilidad,"45,496,205.12",2019
10,000,330,"Manejo, Conservación, Restauración y Protección de los ecosistemas del Estado","97,384,893.21",2019
10,000,333,"Transparencia, Eficiencia y Gestión Administrativa en la Secretaria del Medio Ambiente y Desarrollo Territorial","57,285,284.43",2019
10,000,905,Conservación y Manejo de los Ecosistemas y Biodiversidad del Estado,"30,590,000.00",2019
10,025,745,Desarrollo Urbano Sustentable en el Estado de Jalisco,"1,000,000.00",2019
10,040,332,Atención a personas que visitan los parques Solidaridad y Montenegro,"28,000,000.00",2019
10,041,331,Administración y Operación del Parque Metropolitano de Guadalajara,"17,000,000.00",2019
10,042,324,Administración y Manejo del Área de Protección de Flora y Fauna La Primavera,"29,503,039.00",2019
10,043,325,"Programa de Impulso al Desarrollo de los Sectores Agropecuarios, Forestal y Vida Silvestre","15,245,397.44",2019
10,082,918,Planeación Urbana para la restitución de garantías a grupos vulnerables,"514,710.00",2019
10,082,921,Desarrollo Urbano equitativo y ordenado con enfoque de ciudades y comunidades sostenibles,"21,636,378.00",2019
10,156,322,"Normatividad, Seguridad y Justicia Ambiental","66,909,005.00",2019
10,799,920,Gestión estratégica para el desarrollo sustentable de Jalisco,"83,508,333.00",2019
11,000,335,Estrategias para la Superación de la Pobreza y Desarrollo Territorial,"199,518,568.18",2019
11,000,337,"Ampliación de Oportunidades Educativas para Niñas, Niños y Jóvenes","506,208,758.00",2019
11,000,342,Bienestar económico y social para los adultos mayores,"132,635,905.04",2019
11,000,346,Coinversión Social,"62,526,343.00",2019
11,000,347,Seguridad Alimentaria,"67,505,415.46",2019
11,000,350,Apoyo de Seguridad Social a personas lesionadas por las explosiones del 22 de abril de 1992 en Guadalajara,"1,503,358.33",2019
11,000,351,Fortalecimiento Institucional para la Operación de Programas Sociales,"49,298,710.88",2019
11,000,378,Servicios de Asistencia Social a Grupos Vulnerables,"17,000,000.00",2019
11,000,912,Inclusión de Personas con Discapacidad,"171,114,646.64",2019
11,000,913,Apoyo al ingreso del hogar con jefatura femenina,"217,029,592.98",2019
11,045,356,Bienestar de la niñez y sus familias,"111,251,933.72",2019
11,045,357,Bienestar alimentario y desarrollo comunitario,"714,150,358.27",2019
11,045,358,Inclusión para el Bienestar de Grupos Prioritarios,"323,908,900.06",2019
11,046,373,"Atención integral de niñas, niños y adolescentes en situación de vulnerabilidad","92,948,929.50",2019
12,000,391,Programa de Impulso a la Ciencia y Desarrollo Tecnológico,"9,239,475.00",2019
12,000,392,"Educación superior con calidad, pertinencia, equidad y flexibilidad","160,005,879.98",2019
12,000,437,"Proyectos de Innovación, Empresarial y Social","10,618,690.00",2019
12,000,692,"Conducción de la Política de Innovación, Ciencia y Tecnología.","59,621,206.47",2019
12,050,395,Educación Superior Tecnológica en las Regiones (UTJ),"57,655,390.00",2019
12,058,406,Educación Superior Tecnológica en las Regiones (UTZMG),"25,243,481.00",2019
12,063,420,Educación Superior Tecnológica en las Regiones (UPZMG),"14,806,800.00",2019
12,067,660,"Gestión de Fondos y Programas de Apoyo de Ciencia, Tecnología e Innovación","68,899,034.00",2019
12,067,661,Operación del Fondo de Ciencia y Tecnología de Jalisco,"77,925,000.00",2019
12,115,220,Ciudad Creativa Digital,"1,784,000.00",2019
12,116,401,Educación Superior Tecnológica en las Regiones,"279,678,058.00",2019
12,202,946,Ciudad Creativa Digital,"47,000,402.55",2019
13,000,447,Programa de Desarrollo Cultural en los Municipios,"51,284,144.90",2019
13,000,453,Programa de Protección y Aprovechamiento del Patrimonio Cultural de Jalisco,"60,620,676.00",2019
13,000,464,Programa de Fomento Cultural y Artístico,"48,438,161.40",2019
13,000,662,Fortalecimiento de la cultura científica y la apropiación social de la ciencia (Lunaria),"26,727,000.00",2019
13,000,701,Museo Trompo Mágico,"51,936,255.89",2019
13,000,814,Programa para el Desarrollo del Sector Artístico,"20,779,541.00",2019
13,000,816,"Programa para la Planeación, Difusión, Operación y Evaluación de la Política Cultural.","128,022,108.09",2019
13,000,906,Programa de Fomento a la Lectura,"92,427,086.00",2019
13,000,907,Programa de Formación Artística,"572,800.00",2019
13,056,795,Educación Superior en Restauración de Bienes Muebles (ECRO),"5,398,822.00",2019
13,069,427,"Programa de conservación, promoción y difusión del Instituto Cultural Cabañas","25,630,990.56",2019
13,071,436,Radio y Televisión Jalisciense,"56,828,116.00",2019
13,072,465,"Programa de Operación, Promoción y Difusión de la Orquesta Filarmónica de Jalisco","50,876,269.93",2019
13,083,445,Programa de Fomento a la Cultura y las Artes en el Estado de Jalisco,"45,262,062.94",2019
13,083,448,"Sistema Estatal de Ensambles y Orquestas Comunitarias: ECOS, Música para el Desarrollo","34,235,142.00",2019
13,160,451,Actividades del Consejo Estatal para la Cultura y las Artes,"4,067,570.00",2019
14,000,466,Conducción de la Secretaría del Trabajo y Previsión Social,"11,407,146.00",2019
14,000,467,Impartición de Justicia Laboral en el Estado,"148,722,608.00",2019
14,000,468,Procuración de Justicia Laboral y Conciliación Laboral Administrativa en el Estado,"27,359,770.00",2019
14,000,469,Programa de Apoyo para el fortalecimiento del Empleo en el Estado,"139,663,448.00",2019
14,000,471,Fomentar el Cumplimiento de la Normatividad Laboral y de Seguridad e Higiene del Estado,"23,659,927.03",2019
14,000,639,Administración de recursos de la Secretaría del Trabajo y Previsión Social,"86,952,291.81",2019
15,000,472,Resolución de procedimientos jurídicos en materia de movilidad en el Estado.,"56,046,761.77",2019
15,000,475,"Información Ciudadana y Administración Eficiente y Eficaz de los Recursos Humanos, Materiales y Financieros de la Secretaría del Transporte","219,961,841.88",2019
15,000,477,Operación y mejoramiento de los dispositivos de control de tráfico.,"133,106,706.34",2019
15,000,479,Autorización en la aplicación de los lineamientos técnicos para modificación de la infraestructura vial.,"25,817,261.50",2019
15,000,480,Concesiones y Reordenamiento de rutas del Servicio de Transporte Público en sus diferentes modalidades,"73,963,675.71",2019
15,000,481,Profesionalización de los servidores públicos; sistematización y mejoramiento de los procesos.,"12,029,458.00",2019
15,000,484,Operación de la vigilancia vial.,"628,863,055.58",2019
15,000,485,Promoción de la cultura vial y servicios de movilidad.,"78,431,291.79",2019
15,000,486,Programa de Emisión de Licencias de Conducir,"70,806,916.60",2019
15,000,487,Operativo Salvando Vidas,"11,811,054.00",2019
15,075,488,Sistema de Tren Eléctrico Urbano.,"98,252,779.84",2019
15,161,483,Administración del registro y manejo de la información de los actos y actores de movilidad.,"193,922.50",2019
15,729,924,Programa de mejora de la Seguridad Vial,"200,000,000.00",2019
16,000,502,Fortalecimiento Institucional de la Fiscalía Estatal,"417,864,305.73",2019
16,000,508,Fortalecimiento del Sistema Legal Aplicable a la Fiscalía Estatal,"37,035,359.01",2019
16,000,511,"Atención a denuncias, quejas, evaluaciones de eficacia y calidad en actuar de servidores y elementos.","34,137,472.29",2019
16,000,520,Representación Jurídica en la Seguridad Pública y la Procuración de Justicia,"502,322,194.07",2019
16,000,545,Atención Integral a Víctimas del Delito,"24,947,157.97",2019
16,000,550,"Estrategias de Inteligencia para la investigación, la Prevención, Persecución y Sanción de los Delitos","226,930,943.44",2019
16,000,551,Justicia Restaurativa en favor de la Víctima,"4,025,239.00",2019
16,000,558,"Fortalecimiento para la Procuración de Justicia, Humanitaria, Pronta, Expedita con Estricto Apego a la Ley","208,171,473.94",2019
16,000,559,Coordinación y Gestión del Despacho del Fiscal Regional,"15,563,492.10",2019
16,000,560,Procuración de Justicia Pronta y Expedita,"182,519,157.46",2019
16,000,565,Carpetas de Investigación que se Judicializan en beneficio de la Sociedad,"186,599,313.08",2019
16,000,571,"Atención, Captación y Medidas de Protección a Víctimas del Delito","251,753,786.38",2019
16,000,576,Control de procesos del Sistema Tradicional,"2,895,577.96",2019
16,000,588,Investigar y Perseguir los Delitos Electorales de Orden Estatal,"7,997,025.00",2019
16,162,497,"Atención integral especializada a mujeres víctimas de violencia familiar, sexual o por razones de género, así como a sus hijas e hijos","42,492,137.18",2019
16,165,925,Prevención e Investigación y Combate a la Corrupción,"63,584,465.80",2019
16,800,922,Búsqueda y Localización de Personas Desaparecidas,"40,000,000.00",2019
17,000,591,Apoyo jurídico gratuito y de calidad para la tranquilidad jurídica de los jaliscienses.,"15,903,632.89",2019
17,000,592,Defensa humana y eficiente a todos los Jaliscienses,"38,868,988.23",2019
17,000,593,Gobierno efectivo y eficiente,"65,124,137.14",2019
17,000,594,Observancia de la legalidad y el respeto de los derechos fundamentales de la ciudadanía.,"9,954,034.98",2019
17,000,595,Vigilancia y cumplimiento de los derechos patrimoniales y personales de los Jaliscienses.,"258,858.76",2019
18,000,597,Fortalecimiento Administrativo y de Recursos Humanos de la Contraloría,"24,754,868.66",2019
18,000,598,Realización de Auditorias a los Organismos Públicos Descentralizados y Fideicomisos,"13,807,940.00",2019
18,000,599,Despacho del Contralor,"7,212,854.00",2019
18,000,600,"Realización de Auditorias a Dependencias, OPD´s Sector Salud y Entidades Desconcentradas del Ejecutivo","18,102,197.00",2019
18,000,601,Verificación de Obra Pública del Estado,"21,826,435.00",2019
18,000,602,Programa para el fortalecimiento del Sistema Estatal Anticorrupción.,"12,977,440.00",2019
18,000,603,"Control Preventivo, Transparencia y Fiscalización de los Recursos Públicos","8,923,081.00",2019
18,000,923,Prevención y Sanción de las Prácticas de Corrupción,"6,279,089.00",2019
19,000,908,"Programa de Apoyo Logístico, Técnico, de Evaluación y Difusión de las actividades del C. Gobernador y la Proyección del Estado de Jalisco.","224,969,215.47",2019
19,000,911,Atención de Agenda y Coordinación de Actividades del C. Gobernador del Estado de Jalisco,"169,173,488.99",2019
20,000,615,Administración Transparente y eficiente del Tribunal de Arbitraje y Escalafón del Estado de Jalisco.,"19,511,696.04",2019
20,000,642,Impartición de Justicia Laboral para Servidores Públicos y Entidades Públicas del Estado y Municipios,"43,008,783.74",2019
24,000,690,Poder Legislativo,"699,900,000.00",2019
24,146,691,Auditoría Superior del Estado,"297,160,129.00",2019
25,142,664,Proyectos prioritarios del Supremo Tribunal de Justicia,"459,135,760.00",2019
25,143,619,Instituto de Justicia Alternativa,"90,421,930.00",2019
25,145,621,Consejo de la Judicatura,"1,158,959,733.00",2019
26,000,624,Gobernanza de los Derechos Humanos,"44,801,246.90",2019
26,000,625,Cultura de los Derechos Humanos,"19,932,745.32",2019
26,000,626,Defensa de los Derechos Humanos,"83,829,860.30",2019
27,000,632,Administración de Recursos IEPC,"68,863,418.90",2019
27,000,633,Prerrogativas a Partidos Políticos IEPC,"99,646,372.57",2019
27,000,803,Mecanismos de Participación Social,"2,167,500.00",2019
28,000,627,"Promoción de la cultura de la transparencia, rendición de cuentas y participación ciudadana.","8,499,848.41",2019
28,000,628,Apoyo a la función pública y desempeño organizacional ,"3,380,140.90",2019
28,000,629,Garantizar el derecho de acceso a la información pública y la protección de datos personales,"24,240,962.63",2019
28,000,640,"Planeación, proyectos y gestión administrativa","20,152,977.22",2019
29,000,689,Universidad de Guadalajara,"12,043,081,501.00",2019
31,000,617,Impartición de justicia electoral a la ciudadanía e investigación y capacitación en la materia,"37,330,043.80",2019
32,000,620,Tribunal de Justicia Administrativa del Estado de Jalisco,"123,995,727.40",2019
33,000,926,Programa para el fortalecimiento del Sistema Estatal Anticorrupción.,"50,178,924.00",2019
35,000,062,Actos jurídicos apegados a la legalidad,"169,008,680.00",2019
35,000,063,"Programa de Ejecución de la Política de Administración, Manejo de los Recursos Materiales, Prestación de Servicios Generales y Desarrollo de los Recursos Humanos del Poder Ejecutivo","87,101,357.76",2019
35,000,070,Abastecimientos de Bienes y Servicios a las Dependencias del Ejecutivo y Organismos,"319,090,720.01",2019
35,000,091,Programa de Fortalecimiento de la Administración de Servicios Generales y Bienes Patrimoniales del Poder Ejecutivo,"43,921,232.60",2019
35,000,092,Conservación y Racionalización de espacios a Inmuebles e instalaciones fijas de los Edificios de Gobierno del Estado del Poder Ejecutivo,"44,408,037.87",2019
35,000,097,Profesionalización de los Servidores Públicos del Poder Ejecutivo y Programa de Ahorro de Recursos,"10,096,465.00",2019
35,000,098,Armonización de la política salarial con las nuevas normativas,"14,159,710.00",2019
35,000,099,Administración y desarrollo de personal,"6,661,699.00",2019
35,000,929,Innovación y Tecnologías de Información y Telecomunicaciones,"209,289,616.24",2019
35,000,930,Vinculación con Organismos Públicos Descentralizados del Poder Ejecutivo,"30,621,143.04",2019
35,000,944,Atención de asuntos jurídicos fiscales,"4,222,449.00",2019
36,000,072,"Planeación, monitoreo y evaluación de políticas públicas","605,498,138.39",2019
36,000,932,Coinversión Social,"1,113,642.83",2019
37,000,046,Centro de prevención social,"8,615,190.58",2019
37,000,495,Productos Inteligentes Terminados,"104,441,382.79",2019
37,000,501,Difusión de Logros y Resultados de la Secretaría de Seguridad,"491,967,967.81",2019
37,000,509,Información Estratégica para la Toma de Decisiones de la Secretaría de Seguridad,"56,819,332.97",2019
37,000,530,"Mecanismos y Coordinación para la Seguridad, el Orden y la Paz Pública en el Estado","1,663,907,561.81",2019
37,000,531,Reinserción de los Adultos y Adolescentes a la Sociedad,"419,682,826.57",2019
37,000,532,Centros Penitenciarios Mayores,"391,687,394.13",2019
37,000,534,Centros con Capacidad Media y CEINJURES,"374,857,004.28",2019
37,000,535,Atención Integral Para Adolescentes y Adultos Jóvenes en Conflicto con la Ley,"175,817,888.18",2019
37,000,536,Atención Integral a Preliberados y Liberados,"36,717,671.90",2019
37,000,537,Custodia y Vigilancia Penitenciaria,"114,029,387.49",2019
37,000,736,Gestión de los recursos federales del Secretariado Ejecutivo del Consejo Estatal de Seguridad Pública,"98,578,867.96",2019
37,000,746,Centro Estatal de evaluación y Control de Confianza,"18,779,133.00",2019
37,078,579,Capacitación y talleres en Centros de Readaptación Social del Estado de Jalisco,"6,432,660.00",2019
37,086,735,Apoyo en las tareas y actividades de seguridad pública en el Estado de Jalisco,"380,766,349.00",2019
37,605,927,"C5 Inteligencia, Videovigilancia y Participación Ciudadana","270,052,551.56",2019
38,000,945,Gestión integral de los recursos hídricos,"6,904,416.13",2019
38,023,203,Gestión integral de los recursos hídricos,"1,603,847,510.00",2019
39,000,931,Bienestar económico y social para los adultos mayores,"31,054,891.53",2019
39,000,940,Inclusión de Personas con Discapacidad,"196,248.90",2019
39,000,941,Apoyo al ingreso del hogar con jefatura femenina,"941,073.28",2019
39,000,942,"Ampliación de Oportunidades Educativas para Niñas, Niños y Jóvenes","173,877,522.42",2019
39,000,948,Fortalecimiento Institucional en temas de igualdad y perspectiva de género,"21,060,794.00",2019
39,002,676,Programa para la igualdad entre mujeres y hombres,"6,133,750.00",2019
39,002,677,Programa para Incorporar la Transversalidad de la Perspectiva de Género en el Sector Público,"4,362,875.00",2019
39,002,678,Prevención y Atención de la Violencia contra las Mujeres,"18,383,152.00",2019
39,002,679,Fortalecimiento Institucional en temas de igualdad y perspectiva de género,"7,113,115.00",2019
39,048,382,Desarrollo Integral de los Pueblos Indígenas,"5,683,501.41",2019
39,140,362,Atención a Jaliscienses en el Extranjero,"4,500,000.00",2019
39,157,345,Desarrollo e Inclusión de Personas con Discapacidad,"7,861,633.12",2019
39,159,360,Atención para el Desarrollo de Migrantes,"1,636,993.43",2019
40,000,947,Atención de Agenda y Coordinación de Actividades del C. Gobernador del Estado de Jalisco,"138,864,838.00",2019
40,201,936,Atención de Agenda y Coordinación de Actividades del C. Gobernador del Estado de Jalisco,"19,467,192.00",2019
41,000,024,Atención y Seguimiento de los Asuntos Jurídicos del Gobierno del Estado,"25,378,824.00",2019
42,000,589,Desarrollo de Ejercicios Consultivos de Procuración de Justicia,"1,274,128.12",2019
42,000,937,Atención de Agenda y Coordinación de Actividades del C. Gobernador del Estado de Jalisco,"49,711,004.00",2019
42,079,577,Ciencia Aplicada a la Dictaminación para la Procuración de Justicia,"208,806,544.75",2019
43,000,933,Fortalecimiento Institucional para la Operación de Programas Sociales,"24,380,213.00",2019
43,012,105,"Gestión Institucional del CODE para el aprovechamiento de los espacios públicos, deportivos y de recreación","4,679,268.00",2019
43,012,106,Actividad Física y Bienestar para todos,"24,499,754.00",2019
43,012,107,Deporte de alto rendimiento en todas sus manifestaciones y expresiones,"53,640,411.00",2019
43,012,108,Gestión Administrativa y Operativa del CODE,"255,091,567.00",2019
44,000,938,Atención de Agenda y Coordinación de Actividades del C. Gobernador del Estado de Jalisco,"11,638,333.69",2019
45,000,939,Atención de Agenda y Coordinación de Actividades del C. Gobernador del Estado de Jalisco,"18,606,033.00",2019
46,000,935,"Programa de Apoyo Logístico, Técnico, de Evaluación y Difusión de las actividades del C. Gobernador y la Proyección del Estado de Jalisco.","11,237,718.00",2019
46,000,943,Atención de Agenda y Coordinación de Actividades del C. Gobernador del Estado de Jalisco,"9,644,696.90",2019
03,000,089,Coordinación del Proceso Presupuestario y Administración de los Recursos Materiales y Desarrollo de los Recursos Humanos,"33,400,000.00",2019
