tipo de gasto,up,ur,pp,programa presupuestario,importe,year
PROGRAMABLE,"SECRETARIA DE PLANEACION, ADMINISTRACION Y FINANZAS","SECRETARIA DE PLANEACION, ADMINISTRACION Y FINANZAS",89,CoordinaciOn del Proceso Presupuestario y AdministraciOn de los Recursos Materiales y Desarrollo de los Recursos Humanos,"52,657,051.87",2018
PROGRAMABLE,"SECRETARIA DE PLANEACION, ADMINISTRACION Y FINANZAS","SECRETARIA DE PLANEACION, ADMINISTRACION Y FINANZAS",91,Programa de Fortalecimiento de la AdministraciOn de Servicios Generales y Bienes Patrimoniales del Poder Ejecutivo,"49,343,434.51",2018
PROGRAMABLE,"SECRETARIA DE PLANEACION, ADMINISTRACION Y FINANZAS","SECRETARIA DE PLANEACION, ADMINISTRACION Y FINANZAS",92,ConservaciOn y RacionalizaciOn de espacios a Inmuebles e instalaciones fijas de los Edificios de Gobierno del Estado del Poder Ejecutivo,"56,567,318.01",2018
PROGRAMABLE,"SECRETARIA DE PLANEACION, ADMINISTRACION Y FINANZAS","SECRETARIA DE PLANEACION, ADMINISTRACION Y FINANZAS",93,Vigilancia del Cumplimiento de las Obligaciones Fiscales,"76,818,727.70",2018
PROGRAMABLE,"SECRETARIA DE PLANEACION, ADMINISTRACION Y FINANZAS","SECRETARIA DE PLANEACION, ADMINISTRACION Y FINANZAS",97,ProfesionalizaciOn de los Servidores PUblicos del Poder Ejecutivo y Programa de Ahorro de Recursos,"10,923,865.00",2018
PROGRAMABLE,"SECRETARIA DE PLANEACION, ADMINISTRACION Y FINANZAS","SECRETARIA DE PLANEACION, ADMINISTRACION Y FINANZAS",98,ArmonizaciOn de la polItica salarial con las nuevas normativas,"27,699,741.00",2018
PROGRAMABLE,"SECRETARIA DE PLANEACION, ADMINISTRACION Y FINANZAS","SECRETARIA DE PLANEACION, ADMINISTRACION Y FINANZAS",99,AdministraciOn y desarrollo de personal,"14,132,302.21",2018
PROGRAMABLE,"SECRETARIA DE PLANEACION, ADMINISTRACION Y FINANZAS","SECRETARIA DE PLANEACION, ADMINISTRACION Y FINANZAS",104,Presupuesto basado en Resultados (PbR),"22,647,071.13",2018
PROGRAMABLE,"SECRETARIA DE PLANEACION, ADMINISTRACION Y FINANZAS",INSTITUTO DE INFORMACION ESTADISTICA Y GEOGRAFICA DEL ESTADO DE JALISCO,79,InformaciOn EstratEgica para la Toma de Decisiones,"37,283,015.00",2018
PROGRAMABLE,"SECRETARIA DE PLANEACION, ADMINISTRACION Y FINANZAS",FIDEICOMISO FONDO EVALUA JALISCO,78,Fondo EvalUa Jalisco,"2,000,000.00",2018
PROGRAMABLE,SECRETARIA DE EDUCACION,SECRETARIA DE EDUCACION,111,ImparticiOn de la EducaciOn Preescolar,"1,508,371,798.91",2018
PROGRAMABLE,SECRETARIA DE EDUCACION,SECRETARIA DE EDUCACION,112,ImparticiOn de la EducaciOn Primaria,"23,387,796,415.20",2018
PROGRAMABLE,SECRETARIA DE EDUCACION,SECRETARIA DE EDUCACION,113,ImparticiOn de la EducaciOn Secundaria,"2,391,429,397.76",2018
PROGRAMABLE,SECRETARIA DE EDUCACION,SECRETARIA DE EDUCACION,121,Acciones de Apoyo a la CurrIcula de EducaciOn BAsica,"55,115,589.62",2018
PROGRAMABLE,SECRETARIA DE EDUCACION,SECRETARIA DE EDUCACION,127,Programa para la InclusiOn y la Equidad Educativa,"3,710,000.00",2018
PROGRAMABLE,SECRETARIA DE EDUCACION,SECRETARIA DE EDUCACION,131,TecnologIas para Potenciar el Proceso de Enseñanza Aprendizaje en la EducaciOn BAsica,"8,294,894.91",2018
PROGRAMABLE,SECRETARIA DE EDUCACION,SECRETARIA DE EDUCACION,132,Fortalecimiento de la VinculaciOn entre los Niveles de EducaciOn BAsica y las Actividades de Apoyo Escolar,"41,226,908.70",2018
PROGRAMABLE,SECRETARIA DE EDUCACION,SECRETARIA DE EDUCACION,133,Programa Becas EconOmicas,"25,884,776.51",2018
PROGRAMABLE,SECRETARIA DE EDUCACION,SECRETARIA DE EDUCACION,137,ActualizaciOn y CapacitaciOn Continua a Docentes de EducaciOn BAsica en Servicio,"74,900,036.91",2018
PROGRAMABLE,SECRETARIA DE EDUCACION,SECRETARIA DE EDUCACION,147,Fomento de la ParticipaciOn Social en la EducaciOn BAsica,"17,533,732.70",2018
PROGRAMABLE,SECRETARIA DE EDUCACION,SECRETARIA DE EDUCACION,649,ImparticiOn de la EducaciOn Media Superior y la CapacitaciOn para el Trabajo,"17,434,695.59",2018
PROGRAMABLE,SECRETARIA DE EDUCACION,SECRETARIA DE EDUCACION,652,ConducciOn de la PolItica Educativa,"67,829,729.73",2018
PROGRAMABLE,SECRETARIA DE EDUCACION,SECRETARIA DE EDUCACION,655,AdministraciOn Educativa Regional,"119,480,161.24",2018
PROGRAMABLE,SECRETARIA DE EDUCACION,SECRETARIA DE EDUCACION,790,Programa de la Reforma Educativa,"29,381,640.00",2018
PROGRAMABLE,SECRETARIA DE EDUCACION,SECRETARIA DE EDUCACION,807,AdministraciOn del Sistema Educativo Estatal,"500,796,073.90",2018
PROGRAMABLE,SECRETARIA DE EDUCACION,SECRETARIA DE EDUCACION,808,PlaneaciOn y EvaluaciOn del Sistema Educativo Estatal,"50,131,998.04",2018
PROGRAMABLE,SECRETARIA DE EDUCACION,SECRETARIA DE EDUCACION,809,Apoyos educativos para grupos vulnerables y la formaciOn integral,"673,900,022.74",2018
PROGRAMABLE,SECRETARIA DE EDUCACION,SECRETARIA DE EDUCACION,810,FormaciOn inicial y de posgrado para los docentes de educaciOn bAsica,"224,365,782.45",2018
PROGRAMABLE,SECRETARIA DE EDUCACION,SECRETARIA DE EDUCACION,811,Fomento de la salud de los alumnos de EducaciOn BAsica,"14,429,504.81",2018
PROGRAMABLE,SECRETARIA DE EDUCACION,COLEGIO NACIONAL DE EDUCACION PROFESIONAL TECNICA DEL ESTADO DE JALISCO,148,FormaciOn Profesional TEcnica y TEcnica Bachiller,"290,334,183.00",2018
PROGRAMABLE,SECRETARIA DE EDUCACION,COLEGIO DE ESTUDIOS CIENTIFICOS Y TECNOLOGICOS DEL ESTADO DE JALISCO,149,Oferta de bachillerato tecnolOgico con calidad y pertinencia en Jalisco,"406,744,499.00",2018
PROGRAMABLE,SECRETARIA DE EDUCACION,COLEGIO DE BACHILLERES DEL ESTADO DE JALISCO,150,Oferta de Bachillerato General en el estado de Jalisco en sus diferentes Opciones,"431,693,847.00",2018
PROGRAMABLE,SECRETARIA DE EDUCACION,CONSEJO ESTATAL PARA EL FOMENTO DEPORTIVO (CODE JALISCO),105,"GestiOn Institucional del CODE para el aprovechamiento de los espacios pUblicos, deportivos y de recreaciOn","13,056,285.66",2018
PROGRAMABLE,SECRETARIA DE EDUCACION,CONSEJO ESTATAL PARA EL FOMENTO DEPORTIVO (CODE JALISCO),106,Actividad FIsica y Bienestar para todos,"1,041,344.68",2018
PROGRAMABLE,SECRETARIA DE EDUCACION,CONSEJO ESTATAL PARA EL FOMENTO DEPORTIVO (CODE JALISCO),107,Deporte de alto rendimiento en todas sus manifestaciones y expresiones,"13,130,410.63",2018
PROGRAMABLE,SECRETARIA DE EDUCACION,CONSEJO ESTATAL PARA EL FOMENTO DEPORTIVO (CODE JALISCO),108,GestiOn Administrativa y Operativa del CODE,"250,382,926.46",2018
PROGRAMABLE,SECRETARIA DE EDUCACION,INSTITUTO DE FORMACION PARA EL TRABAJO DEL ESTADO DE JALISCO (IDEFT),151,FormaciOn y CapacitaciOn para el Trabajo,"102,405,575.00",2018
PROGRAMABLE,SECRETARIA DE EDUCACION,INSTITUTO ESTATAL PARA LA EDUCACION DE JOVENES Y ADULTOS (INEEJAD),152,OperaciOn de los servicios educativos del Instituto Estatal para la EducaciOn de JOvenes y Adultos,"151,162,404.00",2018
PROGRAMABLE,SECRETARIA DE EDUCACION,INSTITUTO DE LA INFRAESTRUCTURA FISICA EDUCATIVA DE JALISCO,812,OperaciOn de los programas de infraestructura escolar en el Estado,"559,893,585.00",2018
PROGRAMABLE,SECRETARIA DE EDUCACION,ESCUELA DE CONSERVACION Y RESTAURACION DE OCCIDENTE,795,EducaciOn Superior en RestauraciOn de Bienes Muebles (ECRO),"5,398,822.00",2018
PROGRAMABLE,SECRETARIA DE SALUD JALISCO,SECRETARIA DE SALUD JALISCO,665,RectorIa del Sector Salud,"89,000,361.00",2018
PROGRAMABLE,SECRETARIA DE SALUD JALISCO,O.P.D. SERVICIOS DE SALUD JALISCO,182,Ampliar el acceso efectivo a los servicios de salud,"1,005,276,948.00",2018
PROGRAMABLE,SECRETARIA DE SALUD JALISCO,O.P.D. SERVICIOS DE SALUD JALISCO,190,Programa de Calidad en la PrestaciOn de los Servicios de Salud a la Persona,"3,286,990,339.33",2018
PROGRAMABLE,SECRETARIA DE SALUD JALISCO,O.P.D. SERVICIOS DE SALUD JALISCO,193,Impulsar la integraciOn funcional hacia la universalidad de los servicios de salud,"522,818,056.00",2018
PROGRAMABLE,SECRETARIA DE SALUD JALISCO,O.P.D. HOSPITAL CIVIL DE GUADALAJARA,909,"PrevenciOn, PromociOn, AtenciOn y FormaciOn en Salud para Proporcionar Servicios Integrales de Segundo y Tercer nivel a la PoblaciOn de la RegiOn Centro del Estado de Jalisco.","3,727,942,173.80",2018
PROGRAMABLE,SECRETARIA DE SALUD JALISCO,INSTITUTO JALISCIENSE DE CANCEROLOGIA,801,AtenciOn especializada a pacientes con cAncer,"105,607,858.00",2018
PROGRAMABLE,SECRETARIA DE SALUD JALISCO,CONSEJO ESTATAL DE TRASPLANTES DE ORGANOS Y TEJIDOS,164,Fortalecimiento de la cultura integral de trasplante de Organos y tejidos,"14,262,990.00",2018
PROGRAMABLE,SECRETARIA DE SALUD JALISCO,COMISION DE ARBITRAJE MEDICO DEL ESTADO DE JALISCO,191,AtenciOn del conflicto mEdico paciente,"9,536,114.00",2018
PROGRAMABLE,SECRETARIA DE SALUD JALISCO,REGIMEN ESTATAL DE PROTECCION SOCIAL EN SALUD DE JALISCO,713,Sistema de ProtecciOn Social en Salud de Jalisco,"4,558,676,120.00",2018
PROGRAMABLE,SECRETARIA DE SALUD JALISCO,SECRETARIA DE SALUD JALISCO (CONSEJO ESTATAL CONTRA LAS ADICCIONES EN JALISCO),155,OperaciOn de los Centros de AtenciOn Primaria en Adicciones (CAPA),"40,792,334.75",2018
PROGRAMABLE,SECRETARIA DE SALUD JALISCO,SECRETARIA DE SALUD JALISCO (CONSEJO ESTATAL CONTRA LAS ADICCIONES EN JALISCO),637,PrevenciOn en el uso y abuso de sustancias adictivas,"40,857,496.96",2018
PROGRAMABLE,SECRETARIA DE SALUD JALISCO,SECRETARIA DE SALUD JALISCO (CONSEJO ESTATAL PARA LA PREVENCION DE ACCIDENTES),171,PrevenciOn de Accidentes,"5,308,112.78",2018
PROGRAMABLE,SECRETARIA DE SALUD JALISCO,SECRETARIA DE SALUD JALISCO (CONSEJO ESTATAL PARA LA PREVENCION DE ACCIDENTES),172,Sistema de AtenciOn MEdica de Urgencias (S.A.M.U.),"19,837,280.99",2018
PROGRAMABLE,SECRETARIA DE SALUD JALISCO,SECRETARIA DE SALUD JALISCO (CONSEJO ESTATAL PARA LA PREVENCION DEL SINDROME DE INMUNODEFICIENCIA ADQUIRIDA (VIH)),178,PrevenciOn y control del Virus de la Inmunodeficiencia Humana,"19,280,381.81",2018
PROGRAMABLE,SECRETARIA DE SALUD JALISCO,O.P.D. SERVICIOS DE SALUD JALISCO (INSTITUTO JALISCIENSE DE SALUD MENTAL),167,"PromociOn, prevenciOn y AtenciOn oportuna de los trastornos mentales en la poblaciOn jalisciense.","106,789,633.00",2018
PROGRAMABLE,SECRETARIA DE SALUD JALISCO,O.P.D. SERVICIOS DE SALUD JALISCO (INSTITUTO JALISCIENSE DE ALIVIO DEL DOLOR Y CUIDADOS PALIATIVOS),189,"AtenciOn medica con calidad a pacientes con dolor crOnico o fase terminal, en el Estado de Jalisco.","8,590,653.00",2018
PROGRAMABLE,SECRETARIA DE SALUD JALISCO,O.P.D. SERVICIOS DE SALUD JALISCO (COMISION PARA LA PROTECCION CONTRA RIESGOS SANITARIOS DEL ESTADO DE JALISCO),715,Programas y Proyectos de ProtecciOn contra Riesgos Sanitarios,"37,089,299.00",2018
PROGRAMABLE,SECRETARIA DE INFRAESTRUCTURA Y OBRA PUBLICA,SECRETARIA DE INFRAESTRUCTURA Y OBRA PUBLICA,195,EjecuciOn y supervisiOn de la obra pUblica,"557,502,759.42",2018
PROGRAMABLE,SECRETARIA DE INFRAESTRUCTURA Y OBRA PUBLICA,SECRETARIA DE INFRAESTRUCTURA Y OBRA PUBLICA,196,Proyectos para el desarrollo de infraestructura urbana en el estado de Jalisco,"24,000,180.00",2018
PROGRAMABLE,SECRETARIA DE INFRAESTRUCTURA Y OBRA PUBLICA,SECRETARIA DE INFRAESTRUCTURA Y OBRA PUBLICA,205,Fondo Complementario para el Desarrollo Regional (FONDEREG),"240,000,000.00",2018
PROGRAMABLE,SECRETARIA DE INFRAESTRUCTURA Y OBRA PUBLICA,SECRETARIA DE INFRAESTRUCTURA Y OBRA PUBLICA,206,Obra PUblica mediante los Fondos Metropolitanos de Jalisco,"479,525,996.00",2018
PROGRAMABLE,SECRETARIA DE INFRAESTRUCTURA Y OBRA PUBLICA,SECRETARIA DE INFRAESTRUCTURA Y OBRA PUBLICA,214,ConservaciOn de la red carretera estatal,"636,279,736.00",2018
PROGRAMABLE,SECRETARIA DE INFRAESTRUCTURA Y OBRA PUBLICA,SECRETARIA DE INFRAESTRUCTURA Y OBRA PUBLICA,216,ConstrucciOn de la red carretera estatal,"56,551,077.00",2018
PROGRAMABLE,SECRETARIA DE INFRAESTRUCTURA Y OBRA PUBLICA,SECRETARIA DE INFRAESTRUCTURA Y OBRA PUBLICA,219,GestiOn y fomento para el desarrollo y la mejora de infraestructura social y productiva del Estado de Jalisco,"427,343,952.24",2018
PROGRAMABLE,SECRETARIA DE INFRAESTRUCTURA Y OBRA PUBLICA,SECRETARIA DE INFRAESTRUCTURA Y OBRA PUBLICA,269,GeneraciOn de Infraestructura Productiva Rural y Social BAsica,"222,429,100.00",2018
PROGRAMABLE,SECRETARIA DE INFRAESTRUCTURA Y OBRA PUBLICA,SECRETARIA DE INFRAESTRUCTURA Y OBRA PUBLICA,270,Infraestructura en Caminos Rurales,"9,525,259.00",2018
PROGRAMABLE,SECRETARIA DE INFRAESTRUCTURA Y OBRA PUBLICA,SECRETARIA DE INFRAESTRUCTURA Y OBRA PUBLICA,734,Fondo concursable para el Desarrollo de infraestructura en los Municipios del Estado.,"465,521,184.00",2018
PROGRAMABLE,SECRETARIA DE INFRAESTRUCTURA Y OBRA PUBLICA,SECRETARIA DE INFRAESTRUCTURA Y OBRA PUBLICA,910,"GestiOn para el desarrollo de la Infraestructura en la entidad, mediante la proyecciOn y construcciOn de las obras pUblicas.","205,764,817.30",2018
PROGRAMABLE,SECRETARIA DE INFRAESTRUCTURA Y OBRA PUBLICA,COMISION ESTATAL DEL AGUA DE JALISCO (CEA),203,GestiOn integral de los recursos hIdricos,"510,779,000.00",2018
PROGRAMABLE,SECRETARIA DE DESARROLLO ECONOMICO,SECRETARIA DE DESARROLLO ECONOMICO,225,Jalisco Competitivo,"169,280,609.03",2018
PROGRAMABLE,SECRETARIA DE DESARROLLO ECONOMICO,SECRETARIA DE DESARROLLO ECONOMICO,228,Invierte en Jalisco,"176,449,057.98",2018
PROGRAMABLE,SECRETARIA DE DESARROLLO ECONOMICO,SECRETARIA DE DESARROLLO ECONOMICO,231,Principios de Buen Gobierno y Desarrollo institucional,"43,105,475.92",2018
PROGRAMABLE,SECRETARIA DE DESARROLLO ECONOMICO,CONSEJO ESTATAL DE PROMOCION ECONOMICA,235,"Fomento a la Industria, Comercio y Servicios CEPE","40,426,201.00",2018
PROGRAMABLE,SECRETARIA DE DESARROLLO ECONOMICO,INSTITUTO DE LA ARTESANIA JALISCIENSE,236,Programa de Fomento a la ArtesanIa Jalisciense,"15,839,138.00",2018
PROGRAMABLE,SECRETARIA DE DESARROLLO ECONOMICO,INSTITUTO DE FOMENTO AL COMERCIO EXTERIOR DEL ESTADO DE JALISCO (JALTRADE),248,Programa EstratEgico para el Fomento al Comercio Exterior y AtracciOn de la InversiOn,"14,092,554.00",2018
PROGRAMABLE,SECRETARIA DE DESARROLLO ECONOMICO,INSTITUTO JALISCIENSE DEL EMPRENDEDOR (IJALDEM),234,Emprendurismo con Calidad,"10,112,949.00",2018
PROGRAMABLE,SECRETARIA DE DESARROLLO ECONOMICO,FONDO JALISCO DE FOMENTO EMPRESARIAL (FOJAL),251,Fondo Jalisco de Fomento Empresarial,"10,000,000.00",2018
PROGRAMABLE,SECRETARIA DE DESARROLLO ECONOMICO,FIDEICOMISO COMISION DE FILMACIONES DEL ESTADO DE JALISCO,237,"Infraestructura cinematogrAfica, audiovisual y de publicidad","21,500,000.00",2018
PROGRAMABLE,SECRETARIA DE TURISMO,SECRETARIA DE TURISMO,253,ConducciOn de la PolItica TurIstica Estatal,"42,896,645.70",2018
PROGRAMABLE,SECRETARIA DE TURISMO,SECRETARIA DE TURISMO,254,PromociOn TurIstica del Estado de Jalisco,"47,538,214.87",2018
PROGRAMABLE,SECRETARIA DE TURISMO,SECRETARIA DE TURISMO,256,PlaneaciOn y Desarrollo de Producto,"5,688,668.35",2018
PROGRAMABLE,SECRETARIA DE TURISMO,SECRETARIA DE TURISMO,257,Recorridos turIsticos,"5,671,229.62",2018
PROGRAMABLE,SECRETARIA DE TURISMO,SECRETARIA DE TURISMO,258,InformaciOn EstadIstica e InvestigaciOn de Mercados,"2,277,034.05",2018
